COHORT: GNE_AMP_NIH_UKB_CASE_CONTROL_META; VARIANT GROUP: ALL_MISSENSE_SNPEFF; MAF: 0.001; NUMVAR >= 1
GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	UKB_CASES_BETA	UKB_CASES_SE	UKB_CASES_PVAL	AMP_NIH_BETA	AMP_NIH_SE	AMP_NIH_PVAL	GNE_BETA	GNE_SE	GNE_PVAL	UKB_CASE_NUMVAR	AMP_NIH_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	NTOTAL	META_ANALYSIS_GROUP
EP400	3.5676404832960804	0.0003602102665904804	0.402131	0.151657	0.00801166	0.294191	0.157767	0.062221	0.179807774171594	0.108120312654507	0.0963055962457143	175.0	62.0	295.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	1	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
STK38L	3.481358259545062	0.000498877738749127	0.967559	0.715213	0.176111	1.22117	1.33842	0.36156	2.70889872077252	0.719558784846649	0.0001667716361832	8.0	2.0	11.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	1	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
MAP3K6	-3.4545037212075353	0.0005513066079907805	-0.647674	0.334835	0.0530755	-0.444609	0.22748	0.0506422	-0.399353921030006	0.19066144643948	0.0362091526394876	73.0	36.0	111.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	1	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
BOLA1	3.4134482624362805	0.0006414633689398719	0.81634	0.599464	0.173267	0.826028	0.617221	0.180798	1.09138563558828	0.339764698226677	0.0013173145056984	8.0	3.0	15.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	1	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
KCNK4	3.392344778767271	0.0006929718256154755	0.594257	0.328435	0.0703953	0.783966	0.309685	0.0113577	0.318105543441069	0.207253910048425	0.124818449512028	28.0	14.0	45.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	1	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
ERCC8	-3.366541822682782	0.0007611703912596376	-1.89862	1.01654	0.0617995	-0.759655	0.408722	0.0630826	-0.637386503764496	0.302842015900976	0.0353188936519581	24.0	9.0	34.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	1	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
NPBWR1	3.304275050143399	0.0009522235949644469	1.09368	0.352272	0.00190503	0.669144	0.514287	0.193221	0.438738561883952	0.333029685022443	0.187699294744022	22.0	4.0	29.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	1	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
FAM186B	3.2965918153750455	0.000978656205345205	0.0933071	0.270303	0.729948	0.453466	0.209124	0.0301275	0.596224209227076	0.18653791903586	0.0013922024979948	48.0	29.0	81.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	1	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
IGSF9	3.2925731151903146	0.0009927508126045296	0.273371	0.219494	0.212962	0.487977	0.207917	0.0189265	0.342517226914946	0.162294741673255	0.0348183997385051	73.0	28.0	107.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	1	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
C11orf63	3.2735006100423565	0.0010622416134898967	NA	NA	NA	NA	NA	NA	0.649373717273799	0.1983728719285	0.0010622416134898	NA	NA	68.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	1	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
ABCC9	3.2678795766478825	0.0010835645937077192	0.598442	0.279438	0.0322263	0.349251	0.308306	0.257296	0.556255316174922	0.233158812734672	0.0170449934197614	43.0	12.0	58.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	1	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
DCAF1	-3.2610951303661375	0.001109827992446823	-1.09352	0.734116	0.136336	-0.237847	0.475298	0.616782	-1.43621248613671	0.392580258993009	0.0002538026319691	25.0	10.0	66.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	1	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
MXD1	3.254543592080479	0.001135747282959362	0.936818	0.500806	0.0613978	1.24385	0.548573	0.023364	0.56224670286724	0.37508471835088	0.133877290837067	11.0	8.0	16.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	1	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
DPYSL4	3.2535371525130583	0.0011397781999079877	0.44199	0.253752	0.0815406	0.732753	0.300019	0.0145918	0.380798798775031	0.262417609407676	0.146747130032951	55.0	18.0	55.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	1	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
 
COHORT: GNE_AMP_NIH_UKB_CASE_CONTROL_META; VARIANT GROUP: ALL_MISSENSE_SNPEFF; MAF: 0.01; NUMVAR >= 1
GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	UKB_CASES_BETA	UKB_CASES_SE	UKB_CASES_PVAL	AMP_NIH_BETA	AMP_NIH_SE	AMP_NIH_PVAL	GNE_BETA	GNE_SE	GNE_PVAL	UKB_CASE_NUMVAR	AMP_NIH_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	NTOTAL	META_ANALYSIS_GROUP
GBA	7.660677562687037	1.8495467933202264e-14	0.612334	0.169851	0.000312011	0.567902	0.129786	1.21058e-05	0.690006718764457	0.130488388603738	1.23743257136136e-07	32.0	17.0	18.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	1	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
LSR	4.212103283192934	2.530038057742489e-05	0.495307	0.167506	0.00310709	0.373314	0.190697	0.050274	0.288528324303496	0.121179626371041	0.0172658535488151	44.0	25.0	72.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	1	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
EEA1	4.197900355406154	2.6940111425038524e-05	0.587934	0.125504	2.80507e-06	0.0578216	0.112084	0.605938	0.262995525418615	0.127019342380937	0.0384040900142764	50.0	27.0	84.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	1	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
DLEU7	4.076731036859296	4.567327223861598e-05	1.16724	0.427891	0.00637429	1.01878	0.394413	0.00979373	0.704243864496001	0.402382331691961	0.080086249114731	12.0	6.0	13.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	1	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
RNF114	4.048936792968684	5.1450836719141296e-05	0.520745	0.262857	0.0475803	0.268103	0.194885	0.168915	0.759777852904681	0.207807061135968	0.0002560120421331	14.0	9.0	23.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	1	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
DLEU7-AS1	3.755387144317494	0.0001730737367217323	1.16724	0.427891	0.00637429	1.01878	0.394413	0.00979373	NA	NA	NA	12.0	6.0	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.01	1	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
NUP210	3.7524399517353477	0.000175121786989321	0.258292	0.114357	0.0239062	0.165424	0.0915671	0.0708268	0.219716494616765	0.0902629415717801	0.0149254576408459	119.0	59.0	199.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	1	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
SNX27	-3.707816647192864	0.00020905392901848137	-0.663681	0.320124	0.0381537	-0.709633	0.2337	0.00239329	-0.259751512279004	0.197918816920198	0.189380339023877	26.0	9.0	26.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	1	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
LRRK2	3.585262395091772	0.00033673946534124114	0.170502	0.138813	0.219341	0.33171	0.109715	0.0024996	0.196976010815823	0.100590737203525	0.0502074479199019	120.0	56.0	179.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	1	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
HSPA1L	-3.5594736244059915	0.00037159884963527257	-0.827614	0.370956	0.0256791	-0.422277	0.188026	0.0247139	-0.477180968079505	0.28263733488458	0.0913506985527003	29.0	15.0	45.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	1	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
RP11-548K23.11	3.5159999845321317	0.0004381010097339117	NA	NA	NA	NA	NA	NA	0.679035576719547	0.193127297982598	0.0004381010097339	NA	NA	29.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	1	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
STK38L	3.481358259545062	0.000498877738749127	0.967559	0.715213	0.176111	1.22117	1.33842	0.36156	2.70889872077252	0.719558784846649	0.0001667716361832	8.0	2.0	11.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	1	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
DSEL	3.445618892244423	0.0005697532710257144	0.362252	0.173074	0.0363449	0.309355	0.166203	0.0627001	0.263784374262134	0.130999301082774	0.044048192483626	64.0	25.0	80.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	1	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
GCNT2	-3.419933399018605	0.0006263646878780049	-0.377055	0.17511	0.0312992	-0.263144	0.146714	0.0728801	-0.275616948302463	0.139435189405087	0.0480792745810491	61.0	29.0	117.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	1	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
NIPA2	3.418064038926297	0.0006306826585424768	0.886822	0.319285	0.00547746	0.543608	0.35878	0.129733	0.452489187983374	0.278013676979222	0.103614211177783	16.0	5.0	23.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	1	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
UMODL1	-3.390371167047166	0.0006979805256392217	-0.160542	0.122394	0.189626	-0.235628	0.0976252	0.0157957	-0.214663105618905	0.0999821152577038	0.0317920839346485	136.0	68.0	180.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	1	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
CENPF	-3.3482367617037476	0.0008132750039919815	-0.431053	0.143265	0.00262304	-0.13439	0.0905273	0.137671	-0.120126958394219	0.0919800722180176	0.191548919272409	136.0	75.0	251.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	1	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
GPLD1	-3.337437902931062	0.0008455461367399985	-0.339664	0.221861	0.125776	-0.271283	0.134853	0.0442526	-0.337239454104573	0.150691829841854	0.0252248900122233	53.0	30.0	90.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	1	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
C11orf54	3.3128106188251887	0.0009236349885956814	0.930443	0.434181	0.0321145	0.890784	0.600112	0.137712	0.707871487282519	0.335387277445568	0.0348059126708307	18.0	2.0	25.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	1	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
ABCC9	3.2678795766478825	0.0010835645937077192	0.598442	0.279438	0.0322263	0.349251	0.308306	0.257296	0.556255316174922	0.233158812734672	0.0170449934197614	43.0	12.0	58.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	1	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
DCAF1	-3.2610951303661375	0.001109827992446823	-1.09352	0.734116	0.136336	-0.237847	0.475298	0.616782	-1.43621248613671	0.392580258993009	0.0002538026319691	25.0	10.0	66.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	1	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
DLL4	3.2300209109487197	0.0012378116442777472	0.403597	0.289197	0.162842	0.333736	0.26776	0.212619	0.596378696807019	0.201985449607249	0.003151278857534	34.0	12.0	48.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	1	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
SLC39A7	-3.2253882789596817	0.0012580192497634922	-0.49998	0.337066	0.137987	-0.269549	0.200372	0.178547	-1.25512290149723	0.455090410697377	0.0058162629487339	27.0	8.0	35.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	1	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
PSG7	3.2225153359460723	0.0012707036317675202	0.642024	0.238358	0.00706998	0.656094	0.240531	0.00637805	0.0216234192195972	0.13485804205378	0.872611611146686	48.0	22.0	89.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	1	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
 
COHORT: GNE_AMP_NIH_UKB_CASE_CONTROL_META; VARIANT GROUP: ALL_LOF_HC_LOFTEE; MAF: 0.001; NUMVAR >= 1
GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	UKB_CASES_BETA	UKB_CASES_SE	UKB_CASES_PVAL	AMP_NIH_BETA	AMP_NIH_SE	AMP_NIH_PVAL	GNE_BETA	GNE_SE	GNE_PVAL	UKB_CASE_NUMVAR	AMP_NIH_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	NTOTAL	META_ANALYSIS_GROUP
CAPN10	3.950081071321536	7.812472660793461e-05	3.37192	1.10577	0.00229306	NA	NA	NA	2.09947867433774	0.827585633303507	0.0111847897236652	4.0	NA	6.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	1	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
ANGEL2	3.4159081523932353	0.0006356968442059248	1.32646	0.592432	0.0251551	NA	NA	NA	1.38373707704974	0.533887159501172	0.0095470924663894	2.0	NA	2.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	1	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
RP11-400G3.5	3.1128996324130664	0.001852590086223532	NA	NA	NA	NA	NA	NA	1.43633195258633	0.461412869734226	0.0018525900862235	NA	NA	10.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	1	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
SLC17A1	-3.042402310276703	0.002346979837439067	NA	NA	NA	NA	NA	NA	-1.69759772015894	0.557979368614319	0.002346979837439	NA	NA	12.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	1	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
ZNF587B	3.0318646066294477	0.002430481939366744	NA	NA	NA	NA	NA	NA	2.31028989661085	0.762002990357548	0.0024304819393667	NA	NA	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	1	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
SPINK4	2.9538173935838454	0.003138696669075228	NA	NA	NA	NA	NA	NA	0.749688767082974	0.253803355857886	0.0031386966690752	NA	NA	2.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	1	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
LY6K	2.9354628482829033	0.0033305049089437312	NA	NA	NA	NA	NA	NA	2.69839708249393	0.919240754170115	0.0033305049089437	NA	NA	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	1	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
ULK4	2.846168090606124	0.004424883080163867	1.71504	0.524055	0.00106552	0.86702	1.67908	0.605598	0.242552046574523	0.212632890028757	0.253991440943902	12.0	1.0	17.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	1	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
KIN	2.806766914058083	0.005004143607014746	NA	NA	NA	NA	NA	NA	1.35245640322359	0.481855617026702	0.0050041436070147	NA	NA	8.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	1	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
ANKDD1A	2.7777023811908306	0.005474473615392054	1.92457	0.821911	0.0192026	NA	NA	NA	1.16744561844316	0.73577663689752	0.112584046760054	4.0	NA	8.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	1	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
OXLD1	2.712553994504623	0.00667669030314944	NA	NA	NA	NA	NA	NA	1.44368342065345	0.532222924807475	0.0066766903031494	NA	NA	2.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	1	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
ANKRD35	2.691370037296749	0.007115921765606934	NA	NA	NA	0.622617	0.525273	0.23589	0.787903283802311	0.300628770593821	0.0087710527736246	NA	3.0	11.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	1	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
FER1L5	2.6816216155770527	0.00732662781441824	NA	NA	NA	NA	NA	NA	1.21105382472761	0.451612493609396	0.0073266278144184	NA	NA	16.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	1	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
ALMS1	2.667533882028216	0.007641018426414943	0.748115	0.39877	0.0606473	NA	NA	NA	0.699224279610696	0.368710180327495	0.0579063499404486	19.0	NA	22.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	1	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
TRAPPC3L	2.6648806721576417	0.007701564539519898	1.24069	1.22787	0.312286	0.48783	0.927199	0.598795	1.93465590208608	0.628311518023376	0.0020760267795094	2.0	3.0	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	1	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
PRMT2	2.6617244320344113	0.007774149496645693	NA	NA	NA	NA	NA	NA	2.12671154898114	0.798997643552323	0.0077741494966456	NA	NA	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	1	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
ASPDH	2.650703451132342	0.008032433335630937	NA	NA	NA	NA	NA	NA	2.262857876112	0.853682019822074	0.008032433335631	NA	NA	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	1	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
CYP2C18	2.636884802061022	0.008367124079129332	NA	NA	NA	NA	NA	NA	1.26139998932976	0.47836749953727	0.0083671240791291	NA	NA	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	1	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
VPS13A	2.6205576990829353	0.008778607343774279	1.54204	0.524342	0.00327248	NA	NA	NA	0.291768139799279	0.381334820329159	0.4441981521126	14.0	NA	28.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	1	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
AQP6	2.6129159250390837	0.008977338346068854	NA	NA	NA	NA	NA	NA	0.551258671660413	0.210974515627466	0.008977338346069	NA	NA	3.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	1	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
B3GNT3	2.603027855657202	0.009240444555295749	10.5971	60.4312	0.860798	NA	NA	NA	3.74312143465989	1.06766982470067	0.0004551017125469	1.0	NA	3.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	1	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
CTTNBP2	2.57595914603991	0.009996245649762748	2.64037	1.22823	0.0315758	NA	NA	NA	1.03960976612496	0.696219830301805	0.135379461498745	3.0	NA	8.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	1	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
TKTL2	2.5628049829612953	0.010383035107430733	NA	NA	NA	NA	NA	NA	0.655614098914508	0.255818957460022	0.0103830351074306	NA	NA	9.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	1	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
OGFOD1	2.5592811793372285	0.010488886584507048	NA	NA	NA	NA	NA	NA	2.47036041100153	0.965255569003666	0.010488886584507	NA	NA	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	1	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
 
COHORT: GNE_AMP_NIH_UKB_CASE_CONTROL_META; VARIANT GROUP: ALL_LOF_HC_LOFTEE; MAF: 0.01; NUMVAR >= 1
GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	UKB_CASES_BETA	UKB_CASES_SE	UKB_CASES_PVAL	AMP_NIH_BETA	AMP_NIH_SE	AMP_NIH_PVAL	GNE_BETA	GNE_SE	GNE_PVAL	UKB_CASE_NUMVAR	AMP_NIH_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	NTOTAL	META_ANALYSIS_GROUP
CAPN10	3.950081071321536	7.812472660793461e-05	3.37192	1.10577	0.00229306	NA	NA	NA	2.09947867433774	0.827585633303507	0.0111847897236652	4.0	NA	6.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	1	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
OXLD1	3.7768015695325143	0.00015885518989119848	1.34574	0.511951	0.00857267	NA	NA	NA	1.44368342065345	0.532222924807475	0.0066766903031494	1.0	NA	2.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	1	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
