COHORT: GNE_AMP_NIH_UKB_CASE_PROXIES_META; VARIANT GROUP: ALL_MISSENSE_SNPEFF; MAF: 0.001; NUMVAR >= 4
GENE	TEST_STAT_SUMMEDZ	META_PVAL	UKB_CASE_BETA	UKB_CASE_SE	UKB_CASE_PVAL	AMP_NIH_BETA	AMP_NIH_SE	AMP_NIH_PVAL	UKB_SIBLING_PROXY_BETA	UKB_SIBLING_PROXY_SE	UKB_SIBLING_PROXY_PVAL	UKB_PARENT_PROXY_BETA	UKB_PARENT_PROXY_SE	UKB_PARENT_PROXY_PVAL	GNE_BETA	GNE_SE	GNE_PVAL	UKB_CASE_NUMVAR	AMP_NIH_NUMVAR	UKB_SIBLING_PROXY_NUMVAR	UKB_PARENT_PROXY_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
ZNF777	7.383439414692753	1.5425187566898204e-13	0.749222	0.335216	0.0254147	-0.11384	0.374118	0.760909	1.00186	0.415439	0.0158835	0.307319	0.149715	0.0401028	0.242969412522609	0.245815201188982	0.322945500168009	28.0	12.0	20.0	99.0	56.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
GPER1	-7.24171068317012	4.430602203671424e-13	-0.668053	0.430404	0.120626	-0.304042	0.305857	0.320191	-0.819053	0.522934	0.117286	-0.348267	0.170165	0.0406935	-0.217561949407864	0.200965428023701	0.278993128909639	26.0	18.0	32.0	83.0	69.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
OR4C13	7.19639013205344	6.18275634840378e-13	0.478696	0.313958	0.12733	1.14244	0.376091	0.0023841	0.814409	0.382519	0.0332487	0.0799841	0.16044	0.618111	0.0013814442537335	0.215520864452028	0.994885759683227	24.0	7.0	16.0	60.0	39.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
SYT17	7.191214906979589	6.421730878369678e-13	0.456554	0.333652	0.171202	0.401826	0.29837	0.178066	0.495616	0.365542	0.17515	0.114327	0.148145	0.440276	0.505001634097963	0.215025944451102	0.0188460914674949	26.0	14.0	25.0	80.0	51.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
RNF114	7.108088612489467	1.1766101183235484e-12	0.716875	0.424428	0.0912124	-0.177176	0.557318	0.750554	0.505242	0.574364	0.379046	0.271848	0.226326	0.2297	0.759777852904681	0.207807061135968	0.0002560120421331	12.0	6.0	9.0	34.0	23.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
PPIP5K2	7.100023552679262	1.247356298349138e-12	0.619841	0.305804	0.0426705	0.0611586	0.291612	0.833882	0.0936429	0.451388	0.835654	0.211527	0.136807	0.122063	0.671300887867552	0.215869810952671	0.0018724650652228	32.0	15.0	23.0	115.0	57.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
DSEL	7.080730633610802	1.4339639503345008e-12	0.714092	0.223904	0.00142626	0.669373	0.267761	0.0124232	-0.164109	0.363223	0.651404	-0.0390379	0.123528	0.751983	0.411615758897442	0.190615684119216	0.030819045993025	61.0	22.0	39.0	166.0	77.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
 
COHORT: GNE_AMP_NIH_UKB_CASE_PROXIES_META; VARIANT GROUP: ALL_MISSENSE_SNPEFF; MAF: 0.01; NUMVAR >= 4
GENE	TEST_STAT_SUMMEDZ	META_PVAL	UKB_CASE_BETA	UKB_CASE_SE	UKB_CASE_PVAL	AMP_NIH_BETA	AMP_NIH_SE	AMP_NIH_PVAL	UKB_SIBLING_PROXY_BETA	UKB_SIBLING_PROXY_SE	UKB_SIBLING_PROXY_PVAL	UKB_PARENT_PROXY_BETA	UKB_PARENT_PROXY_SE	UKB_PARENT_PROXY_PVAL	GNE_BETA	GNE_SE	GNE_PVAL	UKB_CASE_NUMVAR	AMP_NIH_NUMVAR	UKB_SIBLING_PROXY_NUMVAR	UKB_PARENT_PROXY_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
GBA	21.014755980383775	4.807065111236094e-98	0.612334	0.169851	0.000312011	0.567902	0.129786	1.21058e-05	0.312938	0.249281	0.209347	0.527896	0.081331	8.54366e-11	0.690006718764457	0.130488388603738	1.23743257136136e-07	32.0	17.0	24.0	76.0	18.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
LSR	9.813122288873593	9.886132131484959e-23	0.495307	0.167506	0.00310709	0.373314	0.190697	0.050274	0.464906	0.210265	0.0270323	0.0247394	0.0807165	0.759226	0.288528324303496	0.121179626371041	0.0172658535488151	44.0	25.0	35.0	125.0	72.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
ZNF777	9.503603097937587	2.027508462504477e-21	0.849188	0.281523	0.00255789	0.142378	0.279554	0.610538	1.0125	0.294222	0.000578957	0.186224	0.120285	0.121576	0.242969412522609	0.245815201188982	0.322945500168009	29.0	13.0	22.0	101.0	56.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
NUP210	8.560940784077914	1.1195019824640887e-17	0.258292	0.114357	0.0239062	0.165424	0.0915671	0.0708268	0.150043	0.171004	0.380257	0.0610155	0.051529	0.236374	0.219716494616765	0.0902629415717801	0.0149254576408459	119.0	59.0	80.0	324.0	199.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
IPO4	-8.4830255368565	2.1941248056925423e-17	-0.490358	0.297671	0.0994934	-0.391247	0.177585	0.0275843	-1.02467	0.464769	0.0274763	-0.229497	0.110742	0.0382318	-0.0559858941421384	0.157479267579732	0.722205463198752	62.0	30.0	44.0	186.0	128.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
IRX6	8.408485159609866	4.153399508447456e-17	0.488481	0.31145	0.116786	0.522463	0.364466	0.151714	0.42349	0.405939	0.296839	0.425088	0.139171	0.00225489	0.283929940875569	0.216921171358496	0.190565384718304	39.0	12.0	24.0	90.0	49.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
TRMT12	8.109668641173803	5.075798867766192e-16	0.777248	0.346621	0.0249384	0.78984	0.370821	0.0331734	0.651785	0.44271	0.14095	0.298159	0.17548	0.0892997	0.174548865418295	0.308407551784547	0.571415401452678	17.0	10.0	18.0	58.0	41.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
PUS7L	8.067160789000173	7.195176521970553e-16	0.320234	0.141346	0.0234753	0.00491353	0.125202	0.968695	0.4003	0.191545	0.0366315	0.131733	0.0639536	0.0394151	0.170638390279632	0.105812901371595	0.106822182021625	45.0	27.0	28.0	106.0	71.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
EEA1	8.051141543310294	8.202534080714165e-16	0.587934	0.125504	2.80507e-06	0.0578216	0.112084	0.605938	0.0738124	0.183825	0.688026	0.0236056	0.062345	0.704963	0.262995525418615	0.127019342380937	0.0384040900142764	50.0	27.0	34.0	149.0	84.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
SEPTIN5	7.929851333708075	2.194083841487258e-15	0.561456	0.477071	0.239243	0.173201	0.482624	0.71969	2.55837	0.692512	0.000220466	0.589523	0.218361	0.00693884	NA	NA	NA	20.0	5.0	8.0	53.0	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
STK38L	7.853426459103991	4.048222196513862e-15	0.967559	0.715213	0.176111	NA	NA	NA	1.0959	0.733668	0.135247	0.367667	0.295979	0.21416	2.70889872077252	0.719558784846649	0.0001667716361832	8.0	NA	6.0	33.0	11.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
OR51I1	7.705223727243803	1.3061425764482903e-14	0.216724	0.189876	0.253705	0.104057	0.118341	0.379239	0.32164	0.238816	0.178041	0.144559	0.0797775	0.0699817	0.421587853593874	0.166919867007667	0.011547129402261	20.0	14.0	16.0	52.0	36.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
PTGDR	-7.555967050143233	4.1575909667429e-14	-0.158662	0.175056	0.364753	-0.187093	0.139804	0.180814	-0.588262	0.375086	0.116802	-0.207135	0.108684	0.0566713	-0.334091424413776	0.181850165380666	0.0661833778255633	27.0	15.0	20.0	69.0	38.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
ASPSCR1	7.514202710717145	5.725880531913088e-14	0.303396	0.195351	0.120404	0.0650107	0.149067	0.662753	0.198078	0.252967	0.433618	0.24771	0.0829356	0.00281938	0.27140244960989	0.154626802644263	0.0792234611149891	61.0	41.0	42.0	180.0	92.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
TRRAP	7.487334023798059	7.028666264095893e-14	0.152999	0.206398	0.458521	0.0579565	0.254614	0.819938	0.470641	0.213584	0.0275569	0.148676	0.0839438	0.0765381	0.367962852481556	0.144653713810494	0.0109669615330286	116.0	32.0	92.0	372.0	190.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
CGN	7.483696380819689	7.226079131260378e-14	0.170834	0.115734	0.139921	0.199851	0.0978038	0.0410143	0.321567	0.14367	0.0252062	-0.00500513	0.0580235	0.931259	0.219071122804817	0.120883851236264	0.0699483898157882	94.0	46.0	62.0	231.0	132.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
RNF114	7.405072921774618	1.310784210151303e-13	0.520745	0.262857	0.0475803	0.268103	0.194885	0.168915	0.098619	0.452777	0.827578	0.0224801	0.128974	0.86163	0.759777852904681	0.207807061135968	0.0002560120421331	14.0	9.0	10.0	36.0	23.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
REXO4	7.372953335822311	1.6688891661504837e-13	0.546928	0.208794	0.00880674	0.0936245	0.17039	0.582681	0.35958	0.277702	0.195374	0.138154	0.0984776	0.160647	0.25817524850734	0.171399201791334	0.13199522202275	21.0	12.0	15.0	60.0	42.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
VIT	7.331737613522057	2.2718757394155385e-13	0.341976	0.176635	0.0528601	0.378216	0.145513	0.00934457	0.51719	0.221751	0.0196849	0.0291548	0.0837268	0.72768	0.016483730350234	0.142134442960423	0.907674093058176	55.0	27.0	40.0	152.0	91.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
LRRK2	7.331683592409899	2.272791907289066e-13	0.170502	0.138813	0.219341	0.33171	0.109715	0.0024996	0.192712	0.187887	0.305043	0.00610884	0.0635367	0.923404	0.196976010815823	0.100590737203525	0.0502074479199019	120.0	56.0	72.0	336.0	179.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
PRSS55	-7.315926253379313	2.556120212471088e-13	-0.397297	0.212617	0.0616781	-0.108543	0.136499	0.426501	-0.497851	0.260299	0.0557978	-0.0660981	0.0772957	0.392477	-0.324444379139953	0.172175251778886	0.0595129822330068	40.0	27.0	32.0	103.0	67.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
IPP	-7.27806034934545	3.3865384461001815e-13	-0.378862	0.359337	0.291728	-0.0426465	0.292455	0.884062	-0.981263	0.734774	0.181725	-0.443994	0.180824	0.0140729	-0.638907249378159	0.279359121760273	0.0221931200187671	31.0	12.0	16.0	84.0	44.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
HIVEP2	7.211925341170446	5.516622048970943e-13	0.205157	0.119693	0.0865227	0.0740543	0.117535	0.528655	0.214483	0.15531	0.16728	0.108716	0.052443	0.0381689	0.137139400342022	0.0970001561617981	0.157418878797493	113.0	44.0	75.0	290.0	173.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
LMF2	-7.160213487581755	8.055151662169361e-13	-0.482127	0.207705	0.0202754	-0.0439246	0.115178	0.702934	-0.616737	0.29506	0.0365991	-0.0321708	0.0776678	0.67872	-0.203823817254616	0.104352648141649	0.0507933757223693	79.0	42.0	45.0	173.0	107.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
 
COHORT: GNE_AMP_NIH_UKB_CASE_PROXIES_META; VARIANT GROUP: ALL_LOF_HC_LOFTEE; MAF: 0.001; NUMVAR >= 4
GENE	TEST_STAT_SUMMEDZ	META_PVAL	UKB_CASE_BETA	UKB_CASE_SE	UKB_CASE_PVAL	AMP_NIH_BETA	AMP_NIH_SE	AMP_NIH_PVAL	UKB_SIBLING_PROXY_BETA	UKB_SIBLING_PROXY_SE	UKB_SIBLING_PROXY_PVAL	UKB_PARENT_PROXY_BETA	UKB_PARENT_PROXY_SE	UKB_PARENT_PROXY_PVAL	GNE_BETA	GNE_SE	GNE_PVAL	UKB_CASE_NUMVAR	AMP_NIH_NUMVAR	UKB_SIBLING_PROXY_NUMVAR	UKB_PARENT_PROXY_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
KIF19	6.3556347180724	2.0756774335319259e-10	0.863902	0.410864	0.0354965	NA	NA	NA	0.471214	0.662112	0.476661	0.544006	0.230051	0.0180441	0.585036417332245	0.497232486373117	0.239361081394202	12.0	NA	9.0	15.0	10.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
CAPN10	6.0638502369071094	1.3290091508401873e-09	3.37192	1.10577	0.00229306	NA	NA	NA	1.63267	1.00436	0.104039	-0.606628	0.528426	0.250972	2.09947867433774	0.827585633303507	0.0111847897236652	4.0	NA	4.0	18.0	6.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
ULK4	5.7317398277144935	9.940566851686588e-09	1.71504	0.524055	0.00106552	NA	NA	NA	0.85431	0.692943	0.217623	0.0261239	0.305449	0.931843	0.242552046574523	0.212632890028757	0.253991440943902	12.0	NA	7.0	26.0	17.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
RBL1	5.662252877226182	1.4939844063762007e-08	0.669016	0.597437	0.262794	NA	NA	NA	1.88076	0.768836	0.0144355	0.234861	0.251772	0.350905	0.462304912372696	0.397385184869338	0.244680528448671	6.0	NA	4.0	16.0	15.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
ACTN3	5.600270387134139	2.1401771795848968e-08	0.421361	0.673186	0.531367	0.655476	0.604952	0.278578	1.94327	0.767901	0.0113858	0.0254921	0.349624	0.941875	0.611030731474057	0.47466299513489	0.197991903192103	8.0	6.0	6.0	25.0	17.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
TRPM2	5.563845206611412	2.638940517363568e-08	0.903114	0.386882	0.0195778	0.314673	0.444494	0.478986	-10.5609	90.1759	0.906769	0.52464	0.220115	0.01715	0.0958901214098854	0.375740131743981	0.798566082725867	18.0	5.0	8.0	31.0	16.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
PHKB	-5.52597139840387	3.2766751346825364e-08	-1.23742	0.731361	0.0906565	-0.335799	0.611183	0.582714	-1.11088	1.03232	0.281883	-0.137739	0.227257	0.544453	-1.09726997859924	0.684761749402868	0.109064683295811	16.0	4.0	11.0	28.0	13.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
HMCN2	5.3336916511751165	9.623588900890295e-08	0.569267	0.314156	0.0699781	0.297804	0.419335	0.477592	0.741269	0.361339	0.0402231	0.135393	0.143296	0.344739	-0.0431957878263423	0.233692041235488	0.853354026371231	35.0	8.0	26.0	80.0	50.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
UNC13B	5.1563497295730745	2.5181038813803896e-07	0.969371	0.619847	0.117844	NA	NA	NA	2.14254	0.917318	0.019509	0.0144817	0.366619	0.968491	0.893563807624069	0.734051040312935	0.223488293160634	8.0	NA	5.0	28.0	8.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
