COHORT: GNE_AMP_NIH_UKB_ALL_PD_PHENO_META; VARIANT GROUP: ALL_MISSENSE_SNPEFF; MAF: 0.001; NUMVAR >= 2
GENE	TEST_STAT_SUMMEDZ	META_PVAL	UKB_ALL_CASES_BETA	UKB_ALL_CASES_SE	UKB_ALL_CASES_PVAL	AMP_NIH_BETA	AMP_NIH_SE	AMP_NIH_PVAL	GNE_BETA	GNE_SE	GNE_PVAL	UKB_ALL_CASES_NUMVAR	AMP_NIH_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
SMIM19	5.582870168700395	2.365813576511844e-08	0.807054	0.293474	0.0059595	1.29623	0.803372	0.106639	0.700234398390176	0.57425360288998	0.222699310182292	20.0	3.0	9.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
GDF9	5.579866567334912	2.407031628663875e-08	0.0135989	0.181281	0.940202	1.01594	0.511079	0.0468296	0.840472856102473	0.238973186775327	0.0004364251712774	66.0	7.0	43.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
NPRL3	5.558677575682964	2.7182631037293647e-08	0.0825609	0.1053	0.433006	0.311938	0.253831	0.219101	0.741796191430629	0.209209881531242	0.0003915666431376	158.0	25.0	66.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ATP8B2	5.555171886613393	2.7733871237017594e-08	0.201311	0.101617	0.047582	0.346879	0.25032	0.165826	0.334259296976928	0.152744643980097	0.0286438527755737	170.0	21.0	81.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
DSEL	5.543907725101313	2.9579475688056856e-08	0.0908342	0.102682	0.376364	0.669373	0.267761	0.0124232	0.411615758897442	0.190615684119216	0.030819045993025	198.0	22.0	77.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
FDFT1	-5.540129543244672	3.022479792892091e-08	-0.388197	0.154607	0.0120439	-0.526836	0.424923	0.215035	-0.548544015584039	0.306547168351678	0.0735459504879885	146.0	10.0	67.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
 
COHORT: GNE_AMP_NIH_UKB_ALL_PD_PHENO_META; VARIANT GROUP: ALL_MISSENSE_SNPEFF; MAF: 0.01; NUMVAR >= 2
GENE	TEST_STAT_SUMMEDZ	META_PVAL	UKB_ALL_CASES_BETA	UKB_ALL_CASES_SE	UKB_ALL_CASES_PVAL	AMP_NIH_BETA	AMP_NIH_SE	AMP_NIH_PVAL	GNE_BETA	GNE_SE	GNE_PVAL	UKB_ALL_CASES_NUMVAR	AMP_NIH_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
GBA	17.125593663595943	9.5628950896394e-66	0.52337	0.0701377	8.51999e-14	0.567902	0.129786	1.21058e-05	0.690006718764457	0.130488388603738	1.23743257136136e-07	85.0	17.0	18.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ZNF184	6.768449793697941	1.3016954288557672e-11	0.21347	0.105231	0.0425017	0.380108	0.191578	0.047245	0.506065190243633	0.183638063616392	0.0058553254772467	84.0	5.0	33.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
STK38L	6.759040562414538	1.3890850546792101e-11	0.528891	0.254033	0.0373442	1.22117	1.33842	0.36156	2.70889872077252	0.719558784846649	0.0001667716361832	37.0	2.0	11.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
LSR	6.463092816920637	1.0258432498851671e-10	0.145308	0.0683974	0.0336307	0.373314	0.190697	0.050274	0.288528324303496	0.121179626371041	0.0172658535488151	149.0	25.0	72.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
NUP210	6.412626093276007	1.4303403214249215e-10	0.0973278	0.0448132	0.0298666	0.165424	0.0915671	0.0708268	0.219716494616765	0.0902629415717801	0.0149254576408459	370.0	59.0	199.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
IRX6	6.3370660195431165	2.3418166526994893e-10	0.434849	0.120971	0.000324811	0.522463	0.364466	0.151714	0.283929940875569	0.216921171358496	0.190565384718304	107.0	12.0	49.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
UMODL1	-6.1890984613131845	6.050928035725337e-10	-0.0742161	0.0455737	0.103422	-0.235628	0.0976252	0.0157957	-0.214663105618905	0.0999821152577038	0.0317920839346485	348.0	68.0	180.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
PARP9	6.155428686092559	7.487468287865893e-10	0.157022	0.0739333	0.0336845	0.255248	0.155686	0.101108	0.454820581867328	0.190135206803651	0.016752720582394	135.0	27.0	78.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
LAT	6.148996705162378	7.797459868405625e-10	0.309832	0.149089	0.0376945	0.232223	0.384879	0.546265	1.07426120812588	0.309811928992314	0.0005253972822846	54.0	11.0	24.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
SDR16C5	-6.147352514023773	7.878690040987497e-10	-0.425907	0.222463	0.0555556	-1.1465	0.519255	0.0272457	-0.739828703929925	0.365370179635405	0.0428802683518319	57.0	6.0	38.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RNF114	6.051601127262409	1.4341321059380154e-09	0.113843	0.11164	0.307855	0.268103	0.194885	0.168915	0.759777852904681	0.207807061135968	0.0002560120421331	41.0	9.0	23.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
PPFIBP2	5.994610182742644	2.039741301636218e-09	0.185745	0.0655942	0.00462977	0.0731436	0.126912	0.564391	0.361875651361123	0.139906801754431	0.0096942680878741	212.0	47.0	105.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
KBTBD13	-5.8473348792494075	4.9951126496328705e-09	-0.174924	0.0719467	0.0150445	-0.477905	0.184575	0.00961947	-0.173691956887367	0.210073145352447	0.408341038379032	131.0	14.0	23.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
LRRK2	5.830671147080552	5.5204884854049335e-09	0.0467883	0.0551034	0.395826	0.33171	0.109715	0.0024996	0.196976010815823	0.100590737203525	0.0502074479199019	395.0	56.0	179.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
OR51I1	5.808223947165249	6.313902674845997e-09	0.168618	0.0701629	0.0162507	0.104057	0.118341	0.379239	0.421587853593874	0.166919867007667	0.011547129402261	58.0	14.0	36.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ADORA1	5.748100303477011	9.025169735206915e-09	0.144216	0.121377	0.234768	0.438241	0.297819	0.141156	0.659743667814118	0.213617582461457	0.0020121481610491	45.0	7.0	27.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ASPSCR1	5.718333662910237	1.0757374982258897e-08	0.257244	0.0729355	0.000420296	0.0650107	0.149067	0.662753	0.27140244960989	0.154626802644263	0.0792234611149891	201.0	41.0	92.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
IPO4	-5.606444771367492	2.065248347770657e-08	-0.30753	0.100903	0.00230542	-0.391247	0.177585	0.0275843	-0.0559858941421384	0.157479267579732	0.722205463198752	209.0	30.0	128.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
C5orf38	-5.601507847195443	2.1249516618452685e-08	-0.453745	0.208972	0.0299071	-0.505027	0.351873	0.151215	-0.944417049004787	0.473407519910169	0.0460500114739601	56.0	12.0	18.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
PEBP4	-5.587894980397236	2.2983856085586194e-08	-0.25341	0.0932507	0.00657749	-0.395828	0.290004	0.172283	-0.458683552833302	0.304676649351212	0.132201599735495	54.0	5.0	20.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
SMIM19	5.582870168700395	2.365813576511844e-08	0.807054	0.293474	0.0059595	1.29623	0.803372	0.106639	0.700234398390176	0.57425360288998	0.222699310182292	20.0	3.0	9.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
IQCF3	5.575330199992395	2.4706078734317662e-08	0.23016	0.122351	0.0599526	0.296479	0.164967	0.0723031	0.735811122556245	0.387884910707584	0.0578301678625724	50.0	13.0	22.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
PTGDR	-5.568530118803288	2.5689722766182446e-08	-0.227671	0.0951365	0.0167066	-0.187093	0.139804	0.180814	-0.334091424413776	0.181850165380666	0.0661833778255633	81.0	15.0	38.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
DCDC2C	5.547055366846208	2.90520766245318e-08	0.151741	0.150634	0.313769	0.664881	0.161357	3.77936e-05	0.114318598422	0.272740628963524	0.675108215684952	59.0	10.0	18.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
 
COHORT: GNE_AMP_NIH_UKB_ALL_PD_PHENO_META; VARIANT GROUP: ALL_LOF_HC_LOFTEE; MAF: 0.001; NUMVAR >= 2
GENE	TEST_STAT_SUMMEDZ	META_PVAL	UKB_ALL_CASES_BETA	UKB_ALL_CASES_SE	UKB_ALL_CASES_PVAL	AMP_NIH_BETA	AMP_NIH_SE	AMP_NIH_PVAL	GNE_BETA	GNE_SE	GNE_PVAL	UKB_ALL_CASES_NUMVAR	AMP_NIH_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
B3GNT3	5.832494373896611	5.46048466600301e-09	2.68973	1.15607	0.019986	NA	NA	NA	3.74312143465989	1.06766982470067	0.0004551017125469	3.0	NA	3.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
TRAPPC3L	5.80117921453606	6.585017397433517e-09	0.897772	0.408838	0.0280984	0.48783	0.927199	0.598795	1.93465590208608	0.628311518023376	0.0020760267795094	12.0	3.0	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RHOT1	5.012074252856626	5.384641656246123e-07	1.3322	0.403416	0.000958919	NA	NA	NA	2.62387757959348	1.53463246781295	0.0873073246960329	7.0	NA	3.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ENTPD8	-4.690111370446502	2.73056385481314e-06	-0.757276	0.740303	0.306342	-1.58509	0.817629	0.052545	-1.16387329058535	0.673326522403539	0.0838910667717844	10.0	2.0	2.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RECQL4	-4.5085829476588675	6.526205365701393e-06	-0.431899	0.28489	0.129515	-0.960585	0.829057	0.2466	-0.958903366453814	0.522872303138372	0.0666666107120231	33.0	3.0	20.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
FLYWCH1	4.323573396265761	1.5352203040051235e-05	0.93627	0.372884	0.0120429	NA	NA	NA	0.673856807453204	0.371745062728614	0.0698803743089678	17.0	NA	14.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ADGRF3	4.1019254303946315	4.0972633021862366e-05	0.537621	0.310984	0.0838493	0.147365	0.849577	0.862293	1.05560532044654	0.479887196713048	0.0278285634974999	18.0	2.0	11.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
LNPK	4.092152232493413	4.273879158926807e-05	1.03009	0.475951	0.0304437	NA	NA	NA	2.3228565716243	1.20487935766465	0.0538706987442293	10.0	NA	3.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
MUC16	-4.042726614048682	5.28332092430793e-05	-0.620858	0.30464	0.0415497	-0.247602	0.664291	0.709349	-0.400447685078324	0.245373878872538	0.102681619867172	43.0	2.0	82.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
CC2D2B	4.033465648215079	5.496021828237918e-05	0.440874	0.230293	0.0555689	1.12678	0.827913	0.173516	0.164308771700981	0.21674544663111	0.448407556432294	29.0	2.0	12.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
KCNA3	4.010580998020389	6.05695166885065e-05	1.94498	0.91334	0.0332104	NA	NA	NA	1.97303286395872	1.04889617777735	0.0599642476389752	5.0	NA	3.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
WDR3	-3.9593032655117835	7.516873630887013e-05	-0.396642	0.436128	0.363105	-0.893407	0.75322	0.235576	-1.26057597937487	0.676374828618665	0.0623604777629362	15.0	2.0	11.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
POMGNT1	3.89840299328596	9.68291760782815e-05	0.521393	0.290666	0.0728475	0.416404	0.618519	0.500803	0.921685236776475	0.643910077495527	0.152319010615942	21.0	3.0	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
MYL1	3.8705293635549403	0.00010859927457748871	2.25848	0.866607	0.00915758	NA	NA	NA	0.909579222527767	0.719369632688848	0.206082374237051	2.0	NA	3.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ECD	3.853803066130741	0.00011629715009031136	1.02706	0.443759	0.020643	NA	NA	NA	0.882518342440177	0.573306360345668	0.123719215446128	4.0	NA	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RAD51B	3.8424554642186526	0.00012180952211714314	0.929889	0.391175	0.0174462	NA	NA	NA	0.868260027410425	0.59255300721949	0.142842719656024	10.0	NA	11.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ING1	3.8352735177975004	0.00012542463685537587	1.09031	0.570416	0.0559503	NA	NA	NA	1.30060170852165	0.676043240737701	0.0543741447748026	11.0	NA	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
THEG	3.8328697572806965	0.00012665701894764593	0.685018	0.418807	0.101915	0.752893	0.643883	0.242283	0.530967902918585	0.51654213385541	0.303983897397899	11.0	3.0	11.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ANKRD35	3.8061720081096437	0.00014113424534997944	NA	NA	NA	0.622617	0.525273	0.23589	0.787903283802311	0.300628770593821	0.0087710527736246	NA	3.0	11.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
BCAS4	3.8040463148902344	0.00014235154690475112	0.460677	0.271991	0.0903185	0.956681	0.791909	0.227021	0.680289742612597	0.753987939410745	0.366921174565869	6.0	3.0	3.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
CTSA	3.7816527188119125	0.0001557906002076532	1.26521	0.465273	0.0065425	NA	NA	NA	1.22901686905999	1.15686604674506	0.288068890152331	14.0	NA	3.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ANGEL2	3.756058240789356	0.0001726105405782123	0.319793	0.274679	0.244325	NA	NA	NA	1.38373707704974	0.533887159501172	0.0095470924663894	10.0	NA	2.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
PLEKHG1	3.754511371705835	0.00017367996030138986	0.878446	0.707745	0.214535	NA	NA	NA	2.37592732725399	0.94533366560107	0.0119600320891666	8.0	NA	6.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
