GENE	TEST_STAT_SUMMEDZ	META_PVAL	UKB_ALL_CASES_BETA	UKB_ALL_CASES_SE	UKB_ALL_CASES_PVAL	AMP_NIH_BETA	AMP_NIH_SE	AMP_NIH_PVAL	UKB_ALL_CASES_NUMVAR	AMP_NIH_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
SORCS3	-4.666028447957493	3.0707720517965488e-06	-0.20467	0.0982731	0.0372816	-0.720921	0.279063	0.00978415	189.0	24.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
GH2	-4.631102620885021	3.637235306733536e-06	-0.326339	0.172104	0.0579368	-0.714101	0.261104	0.0062393	31.0	6.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ZNF567	4.500492533140267	6.7796186414618875e-06	0.554524	0.197718	0.00503757	0.728148	0.429365	0.08991	48.0	3.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
TMEM209	4.496477694937319	6.908842341670047e-06	0.136007	0.0773677	0.0787594	0.472813	0.172651	0.00617103	100.0	15.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
DGKB	-4.495930430402551	6.926638292950082e-06	-0.344311	0.141133	0.0147026	-0.680657	0.331009	0.0397529	93.0	10.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RHBDF1	4.475892178754469	7.609288123536389e-06	0.171724	0.0672516	0.0106661	0.303966	0.158115	0.0545514	210.0	14.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
SULT1A1	4.434323114544927	9.236201609529358e-06	0.378524	0.154173	0.0140811	1.25538	0.634308	0.0478017	39.0	5.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
LIG3	4.400528257623716	1.0798766317226842e-05	0.241171	0.117081	0.0394111	0.681407	0.291117	0.0192493	146.0	14.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
CGN	4.384665574952377	1.1616409897191649e-05	0.0932708	0.049911	0.0616586	0.249448	0.0991477	0.0118721	231.0	36.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RRNAD1	-4.380458661742018	1.1842975931671283e-05	-0.188165	0.137984	0.172672	-1.10923	0.367686	0.0025546	87.0	15.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
HMGCL	4.37012888270661	1.2417322484194762e-05	0.670622	0.216532	0.00195421	0.901992	0.708542	0.203009	29.0	4.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
TIGD2	-4.350388256476819	1.3589669487996855e-05	-0.351061	0.153519	0.0222097	-0.618515	0.299722	0.039053	57.0	4.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
TTI2	4.347833960842176	1.3748862417892477e-05	0.133188	0.0979081	0.173723	0.663547	0.222108	0.00281275	54.0	8.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
HP1BP3	4.337982815556412	1.4379639493096861e-05	0.255946	0.101813	0.0119411	0.360422	0.197589	0.0681376	66.0	5.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
WDR92	-4.331438609661913	1.4813825283368432e-05	-0.615251	0.264012	0.0197858	-0.887595	0.443565	0.0453871	53.0	6.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
KIF21A	4.322076212652616	1.5456777511621762e-05	0.14493	0.0614961	0.0184366	0.280183	0.142562	0.0493751	228.0	21.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
FAM181A	4.299403516358084	1.7125841174013534e-05	0.190563	0.100336	0.0575325	0.424309	0.176784	0.0163879	56.0	14.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
BTBD10	4.299103528632779	1.7149035672694184e-05	0.407715	0.124757	0.00108277	0.513947	0.498479	0.302526	86.0	7.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
CRACR2A	-4.298170294836806	1.7221383155876276e-05	-0.21046	0.127059	0.0976422	-0.527388	0.199634	0.00824744	115.0	20.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ZCCHC8	4.279304894884407	1.8747789707007346e-05	0.33944	0.094423	0.000324538	0.0989032	0.144507	0.493711	57.0	9.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RPL10L	4.276839610147756	1.8956527691034792e-05	0.471931	0.21077	0.0251508	1.37606	0.675281	0.0415735	47.0	3.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
PHF23	4.264542764139332	2.0031197796623117e-05	0.151338	0.170215	0.373951	1.43882	0.426261	0.000736983	68.0	9.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ODF3L1	-4.253883924811575	2.100942378932637e-05	-0.630449	0.255787	0.0137113	-0.748992	0.418632	0.0735917	46.0	10.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
SNRNP35	4.2345039211596305	2.290567884781391e-05	0.412681	0.149484	0.00576761	0.494547	0.335559	0.140536	62.0	8.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
HNRNPM	4.227945147763453	2.3583526509609695e-05	0.181296	0.0779082	0.0199628	0.350271	0.184266	0.0573162	150.0	19.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
DCAF15	4.217683677974966	2.4682474198364066e-05	0.266915	0.098036	0.00647653	0.78558	0.52545	0.134899	94.0	7.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
TRMT12	4.2089901033022885	2.565146225973501e-05	0.372335	0.158553	0.0188581	0.748636	0.40235	0.0627922	53.0	8.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ACER2	4.170039680946606	3.045466073881273e-05	0.426707	0.186304	0.021999	1.43437	0.763101	0.0601542	62.0	5.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
GZF1	4.152634604928765	3.2866931070755935e-05	0.252071	0.128786	0.0503136	0.808165	0.368126	0.0281385	86.0	7.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ZC3H4	4.144089457050845	3.411665552834527e-05	0.148882	0.0497708	0.00277739	0.20308	0.176172	0.24902	344.0	25.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
MYOM3	-4.12190986354271	3.757442280714394e-05	-0.103054	0.0726329	0.155948	-0.388997	0.143909	0.00687017	234.0	49.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
C9orf43	4.117368791000378	3.832225758012159e-05	0.240216	0.216705	0.267649	2.60964	0.867314	0.00262218	42.0	5.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
KIF7	4.099921236719393	4.132907717759545e-05	0.112309	0.0599724	0.0611119	0.270296	0.121359	0.0259303	299.0	40.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
FOXG1	-4.082854262494487	4.448592292258139e-05	-0.294789	0.123027	0.0165689	-0.539363	0.31977	0.0916574	92.0	11.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
SULT1A2	4.069140866015285	4.7186813049999036e-05	0.240565	0.0873535	0.00588843	0.539779	0.410411	0.188438	49.0	8.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
CLMN	4.063310468711182	4.838160908174292e-05	0.081578	0.0653211	0.21171	0.448632	0.159404	0.00488638	104.0	17.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
EMC9	4.054885489270084	5.015886851128285e-05	0.303002	0.0838374	0.00030132	0.0884328	0.200654	0.659414	35.0	5.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
COLGALT1	-4.052365699676963	5.0702329790736275e-05	-0.155655	0.116315	0.180824	-0.822693	0.303113	0.00664462	137.0	14.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
LOC100505549	4.040421998474546	5.3355108745757096e-05	0.4122	0.141443	0.00356547	0.875554	0.777459	0.260092	94.0	7.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
PTGDR	-4.034699924713424	5.467212244947052e-05	-0.569371	0.216054	0.00840576	-0.252664	0.180554	0.161698	57.0	9.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
PPP3CB	-4.027699159324671	5.6325350349670655e-05	-0.131488	0.0876307	0.133491	-0.549304	0.217355	0.0114969	110.0	9.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
EIF3I	4.025856152861347	5.6768386069513214e-05	0.259572	0.153709	0.0912733	1.02114	0.43692	0.0194322	68.0	3.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RAD51AP2	4.014187004462864	5.965104083911239e-05	0.292971	0.108363	0.00685897	0.386967	0.295264	0.189999	55.0	12.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
PIK3C2A	4.013625231484038	5.979325595033456e-05	0.225308	0.0695172	0.00119093	0.109565	0.141816	0.43977	231.0	21.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
VIT	3.9987313677724554	6.368290926915214e-05	0.154523	0.0824053	0.0607705	0.374972	0.176576	0.0337058	148.0	19.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
MCIDAS	-3.995407262103348	6.458313470171711e-05	-0.235348	0.0950729	0.013307	-0.310549	0.204314	0.128522	57.0	5.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
FAM166C	-3.9913749673912156	6.56913195182697e-05	-0.428988	0.205361	0.036713	-0.540931	0.284337	0.0571151	35.0	8.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
TXNDC8	-3.985267857367708	6.740404665599089e-05	-1.7932	0.719152	0.0126495	-0.577975	0.387441	0.135758	16.0	5.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
HIVEP2	3.974354466049963	7.057039733420126e-05	0.145469	0.0510626	0.00438805	0.146682	0.130324	0.260367	253.0	25.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
SCG3	3.9698839278051175	7.190765311465985e-05	0.471874	0.156071	0.00249909	0.379236	0.400703	0.343931	60.0	10.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
PRIM1	3.969151296685915	7.212907537230803e-05	0.470131	0.258118	0.0685492	0.913853	0.425489	0.0317318	40.0	5.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
FOXA1	3.96589766056609	7.312023305888302e-05	0.162868	0.067764	0.016241	0.206745	0.132322	0.118185	97.0	12.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ACO1	3.965334890566055	7.329297156352676e-05	0.168926	0.073506	0.0215544	0.28662	0.171916	0.0954725	172.0	22.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
OR6P1	-3.9543461215792854	7.674424446637874e-05	-0.2148	0.124559	0.0846218	-0.578259	0.259325	0.0257564	43.0	10.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
CACHD1	-3.9530925244111783	7.714758817520044e-05	-0.173093	0.0788151	0.028078	-0.292236	0.166336	0.0789345	227.0	27.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
SLC37A4	-3.9524485860999716	7.73555531300539e-05	-0.15508	0.0791132	0.0499695	-0.300604	0.150889	0.0463466	94.0	15.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
FBN2	-3.940661380745955	8.125726280246806e-05	-0.0595189	0.0434418	0.170661	-0.244373	0.0950654	0.0101529	441.0	62.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RNF13	3.93955535709994	8.16327649719763e-05	0.177842	0.0888473	0.0453215	0.368553	0.190182	0.0526361	49.0	5.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ARFGAP1	3.939141954600797	8.177353841430608e-05	0.121564	0.0978457	0.214086	0.533037	0.19766	0.00700214	72.0	9.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
FITM2	-3.937773154709172	8.224128690934355e-05	-0.553256	0.273387	0.0429998	-1.10634	0.578006	0.0556119	46.0	4.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
B9D2	-3.9290594467091617	8.52787578157979e-05	-0.64767	0.33313	0.051872	-2.16497	1.09074	0.0471607	34.0	7.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
PSME1	3.912716555896596	9.126363313952682e-05	0.369029	0.123449	0.00279585	0.303125	0.328273	0.355802	49.0	3.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
IPO4	-3.9082532077871406	9.296584579273467e-05	-0.184205	0.098442	0.0613166	-0.376567	0.184859	0.0416447	190.0	23.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
CAVIN1	-3.906255355305154	9.37374536100746e-05	-0.205526	0.097901	0.0357884	-0.377419	0.208873	0.0707723	68.0	10.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
PANK2	3.9055174491284403	9.402397312276442e-05	0.393332	0.140108	0.00499509	0.435749	0.396796	0.27213	102.0	12.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
IRX6	3.904211007281103	9.453327717632791e-05	0.362411	0.118087	0.00214772	0.370746	0.443904	0.403608	102.0	9.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
AIP	-3.903691462821966	9.473653979910405e-05	-0.211646	0.117871	0.0725618	-0.417789	0.198181	0.0350206	66.0	8.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
MIR497HG	3.8922870900771347	9.930363556077806e-05	0.40208	0.172964	0.0200906	0.728958	0.465003	0.116965	23.0	4.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
USP22	-3.8905735268223456	0.00010000756701842442	-0.298464	0.179424	0.0962212	-1.32401	0.594495	0.0259397	63.0	6.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ADAMTS5	-3.887970855157081	0.00010108576089710311	-0.200024	0.0964227	0.0380372	-0.449572	0.2479	0.0697517	182.0	19.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ERN2	-3.8821041187928764	0.00010355651768065339	-0.192188	0.0708353	0.00666437	-0.177281	0.15166	0.242429	185.0	23.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
C1orf174	-3.8453377524323695	0.00012038650033766722	-0.3517	0.143624	0.0143349	-0.431072	0.308662	0.162539	26.0	4.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
TRAF1	-3.8437833912856645	0.0001211519490548894	-0.15515	0.133214	0.244153	-0.802414	0.299507	0.00738166	59.0	8.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
MAMDC2	3.839089823286072	0.0001234912496888509	0.208882	0.0811208	0.0100254	0.254216	0.201098	0.20618	114.0	15.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ATP1A1-AS1	3.83373275822772	0.0001262132602799688	0.745133	0.234715	0.00150027	0.577642	0.876405	0.509829	51.0	3.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
