COHORT: AMP_NIH_UKB_ALL_PD_PHENO_META; VARIANT GROUP: ALL_MISSENSE_SNPEFF; MAF: 0.001; NUMVAR >= 2 for SkatO
EIF3CL	15.61863501940369	0.0004059349999999998	0.000405935	NA	7.0	NA	SkatO	ALL_MISSENSE_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
NEUROD2	15.552350633778213	0.0004196139999999999	0.000419614	NA	42.0	NA	SkatO	ALL_MISSENSE_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
NOP53	20.063850646043836	0.000485111424741651	0.0023768	0.0185011	131.0	28.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ARRDC5	20.002458625338406	0.0004988414289261801	0.0248423	0.00182528	75.0	13.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
PHC2-AS1	19.92529075125595	0.000516646454998057	4.71279e-05	1.0	29.0	4.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
SEPTIN5	19.484136454931537	0.0006311919231518496	7.7452e-05	0.758649	63.0	5.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
TUBA1B	14.712887399938143	0.0006384650000000001	0.000638465	NA	14.0	NA	SkatO	ALL_MISSENSE_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
SLC38A5	14.65218272776115	0.0006581410000000003	0.000658141	NA	36.0	NA	SkatO	ALL_MISSENSE_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
LURAP1L	19.323053262264512	0.0006790030004620771	0.246177	0.000258705	48.0	9.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
HHEX	19.152973196884112	0.0007333750616133208	0.000550288	0.126007	43.0	5.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
 
COHORT: AMP_NIH_UKB_ALL_PD_PHENO_META; VARIANT GROUP: ALL_MISSENSE_SNPEFF; MAF: 0.001; NUMVAR >= 2 for CMCWald
GENE	TEST_STAT	META_PVAL	UKB_ALL_CASES_PVAL	AMP_NIH_PVAL	UKB_ALL_CASES_NUMVAR	AMP_NIH_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
GBA	63.01147218879013	6.748273426524675e-13	1.52885e-12	0.013579	83.0	15.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
P2RY10	20.49505107477776	3.544509999999998e-05	3.54451e-05	NA	19.0	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
KNOP1	24.774301142244166	5.584920669158119e-05	0.000171122	0.0243794	90.0	17.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
TREML1	23.82494552044969	8.659408603232176e-05	1.99134e-05	0.33677	49.0	9.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RPS20	16.944143306390398	0.0002092310000000002	0.000209231	NA	16.0	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ADGB	21.708756546176076	0.0002290246314622895	0.000830036	0.0232759	268.0	50.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
H2BC21	21.107975217614758	0.000301434749765249	0.00410243	0.00635946	13.0	2.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
IPO4	20.393371267072514	0.00041756604915922115	0.000279107	0.133618	208.0	27.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
IRX6	19.836050385463324	0.0005380225512144768	0.000324811	0.151714	107.0	12.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
SEPTIN5	19.770729648176125	0.0005542217870251697	7.07449e-05	0.71969	63.0	5.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
LIG3	18.980864054236438	0.0007927771312636391	0.00932556	0.00810369	157.0	15.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
XKR7	18.86221808066733	0.0008364728914241127	0.165971	0.000483158	104.0	13.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
KIF2C	18.839443660798764	0.0008451288219883444	0.00912182	0.00889171	104.0	7.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
NOP53	18.81114836116589	0.0008560065421793942	0.00654824	0.0125628	131.0	28.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
CELA3B	18.34985137932923	0.0010541724140062934	0.000263143	0.393721	55.0	8.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RAP1A	13.709509884840967	0.0010544300000000007	0.00105443	NA	19.0	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
MET	18.320754105244948	0.0010680918933509247	0.00392371	0.0267918	190.0	24.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
SEPT5-GP1BB	18.284800204266702	0.0010855424798440992	0.000148717	0.71969	105.0	5.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
MYH14	17.999215318829314	0.0012345338849348879	0.000783111	0.157651	449.0	57.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
EVX1-AS	17.976912282675006	0.0012469856736209498	0.000228124	0.547258	82.0	15.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
EVX1	17.976912282675006	0.0012469856736209498	0.000228124	0.547258	82.0	15.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
LOC101928123	13.296729324389885	0.0012961400000000005	0.00129614	NA	12.0	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
FCAR	17.856745756592233	0.001316239761807677	0.00115447	0.114835	70.0	11.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
MYOF	17.6680388109514	0.0014327327230718773	0.424174	0.000343471	347.0	63.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
 
COHORT: AMP_NIH_UKB_ALL_PD_PHENO_META; VARIANT GROUP: ALL_MISSENSE_SNPEFF; MAF: 0.01; NUMVAR >= 2 for SkatO
GENE	TEST_STAT	META_PVAL	UKB_ALL_CASES_PVAL	AMP_NIH_PVAL	UKB_ALL_CASES_NUMVAR	AMP_NIH_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
GBA	67.4405038044299	7.871609440138869e-14	2.15206e-10	1.05348e-05	85.0	17.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
LRRK2	33.69002150374946	8.626241189045364e-07	0.246492	1.96111e-07	395.0	56.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
P2RY10	26.153222312896695	2.0936300000000023e-06	2.09363e-06	NA	19.0	NA	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
PSIP1	26.171011377799587	2.922870202040785e-05	0.00202806	0.00102319	81.0	7.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RAP1A	20.531441544504585	3.480599999999998e-05	3.4806e-05	NA	19.0	NA	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
DCDC2C	24.168100945159015	7.391043724079723e-05	0.198422	2.84691e-05	59.0	10.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RPUSD1	23.601629213718812	9.598623167847508e-05	0.5854	1.28091e-05	122.0	31.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
CCDC73	23.305464662186886	0.0001100188168321853	0.144613	6.01278e-05	137.0	25.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ZNF274	21.968314528459185	0.00020335207640114375	9.18527e-05	0.184735	106.0	11.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RPS20	16.615461603715815	0.00024660299999999986	0.000246603	NA	16.0	NA	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ATP1A1-AS1	21.512225291397513	0.0002505782489365227	2.57131e-05	0.828944	33.0	2.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RUSF1	21.445988609637922	0.00025828625656372284	0.000218956	0.100625	139.0	28.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
SORBS3	20.90635066810148	0.00033049853850798216	0.275435	0.000104767	177.0	37.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RAP1GDS1	20.836761213065202	0.0003411609439476079	0.0371254	0.000804792	95.0	17.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
EIF3CL	15.61863501940369	0.0004059349999999998	0.000405935	NA	7.0	NA	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
EIF3C	15.61863501940369	0.0004059349999999998	0.000405935	NA	7.0	NA	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
NEUROD2	15.552350633778213	0.0004196139999999999	0.000419614	NA	42.0	NA	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RPS14	20.355300268124545	0.000424867214972854	5.38495e-05	0.705864	17.0	3.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
NCAM1	20.24513267428829	0.00044671475937798456	0.000239637	0.167599	151.0	23.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
H2BC21	20.066224291743723	0.00048458815168550784	0.0178012	0.00246732	14.0	2.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ABCC3	19.868730288877217	0.0005300948796658417	0.000483675	0.100232	346.0	62.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
SBK1	15.06574009830051	0.0005352000000000001	0.0005352	NA	69.0	NA	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ROR2	19.651293940249335	0.0005850993291488935	9.43946e-05	0.57257	197.0	44.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
CRTAC1	19.61361437594582	0.0005951893562721038	0.0171022	0.00322037	155.0	28.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
 
COHORT: AMP_NIH_UKB_ALL_PD_PHENO_META; VARIANT GROUP: ALL_MISSENSE_SNPEFF; MAF: 0.01; NUMVAR >= 2 for CMCWald
GENE	TEST_STAT	META_PVAL	UKB_ALL_CASES_PVAL	AMP_NIH_PVAL	UKB_ALL_CASES_NUMVAR	AMP_NIH_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
GBA	82.83120403229958	4.374800117690205e-17	8.51999e-14	1.21058e-05	85.0	17.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
P2RY10	20.49505107477776	3.544509999999998e-05	3.54451e-05	NA	19.0	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ABCC3	24.071104307595807	7.729573736157663e-05	9.74912e-05	0.060822	346.0	62.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
DCDC2C	22.68493802888747	0.00014636267607667	0.313769	3.77936e-05	59.0	10.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
CRTAC1	21.945503086214856	0.00020548897398948944	0.00747113	0.00229725	155.0	28.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RPS20	16.944143306390398	0.0002092310000000002	0.000209231	NA	16.0	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
NCAM1	20.891660058576903	0.0003327215662253557	0.000280518	0.103627	151.0	23.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
CCDC73	20.40444921471609	0.0004154649833621756	0.0812976	0.000456197	137.0	25.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
SBK1	15.396003277303608	0.00045373299999999995	0.000453733	NA	69.0	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
IRX6	19.836050385463324	0.0005380225512144768	0.000324811	0.151714	107.0	12.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
SEPTIN5	19.770729648176125	0.0005542217870251697	7.07449e-05	0.71969	63.0	5.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ZNF433-AS1	19.54682677694032	0.000613498945493055	0.000131465	0.433162	159.0	31.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
IPO4	19.326001830481605	0.0006780964494119501	0.00230542	0.0275843	209.0	30.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
XKR7	18.642291354961607	0.0009238591727986028	0.185263	0.000483158	105.0	13.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ZNFX1	18.46371210908411	0.0010014062082381774	0.00014398	0.679757	273.0	45.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RAP1A	13.709509884840967	0.0010544300000000007	0.00105443	NA	19.0	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
H2BC21	18.33156558502396	0.0010628988495572078	0.0164411	0.00635946	14.0	2.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ANGEL2	18.314296649981607	0.0010712055324148325	0.0108143	0.0097522	76.0	11.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
MAGT1	13.595775868703916	0.0011161299999999992	0.00111613	NA	29.0	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
PLCD3	18.184213792330844	0.0011358735536624851	0.000141734	0.794098	160.0	28.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
KRT10	18.17859123468887	0.0011387540015729185	0.308143	0.000366283	104.0	17.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
FLNC	18.157426729022554	0.001149661471646191	0.000511125	0.223171	487.0	80.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
LOC101928123	13.296729324389885	0.0012961400000000005	0.00129614	NA	12.0	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
LIG3	17.890249742650933	0.0012965577604637656	0.00449421	0.0290087	158.0	16.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
 
COHORT: AMP_NIH_UKB_ALL_PD_PHENO_META; VARIANT GROUP: ALL_LOF_HC_LOFTEE; MAF: 0.001; NUMVAR >= 2 for SkatO
GENE	TEST_STAT	META_PVAL	UKB_ALL_CASES_PVAL	AMP_NIH_PVAL	UKB_ALL_CASES_NUMVAR	AMP_NIH_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
TMEM252	19.82513732254464	4.9548000000000014e-05	4.9548e-05	NA	4.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
PCGF5	18.227334969431844	0.00011015000000000002	0.00011015	NA	2.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RSPRY1	16.955521924345046	0.0002080440000000001	0.000208044	NA	3.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
MRPS34	16.60568032758324	0.0002478119999999998	0.000247812	NA	2.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ZSCAN25	21.441848901721873	0.00025877572662349075	3.7299e-05	0.591922	18.0	3.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
CDK5RAP2	16.359885372591926	0.000280218	0.000280218	NA	34.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ENTPD1-AS1	21.20139132769019	0.0002888420391804697	0.000112416	0.221487	30.0	2.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
