COHORT: GNE_AMP_NIH_UKB_ALL_PD_PHENO_META; VARIANT GROUP: ALL_MISSENSE_SNPEFF; MAF: 0.001; NUMVAR >= 2
GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	UKB_ALL_CASES_BETA	UKB_ALL_CASES_SE	UKB_ALL_CASES_PVAL	AMP_NIH_BETA	AMP_NIH_SE	AMP_NIH_PVAL	GNE_BETA	GNE_SE	GNE_PVAL	UKB_ALL_CASES_NUMVAR	AMP_NIH_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	NTOTAL	META_ANALYSIS_GROUP
SMIM19	3.2232715947499044	0.001267353259791573	0.807054	0.293474	0.0059595	1.29623	0.803372	0.106639	0.700234398390176	0.57425360288998	0.222699310182292	20.0	3.0	9.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
 
COHORT: GNE_AMP_NIH_UKB_ALL_PD_PHENO_META; VARIANT GROUP: ALL_MISSENSE_SNPEFF; MAF: 0.01; NUMVAR >= 2
GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	UKB_ALL_CASES_BETA	UKB_ALL_CASES_SE	UKB_ALL_CASES_PVAL	AMP_NIH_BETA	AMP_NIH_SE	AMP_NIH_PVAL	GNE_BETA	GNE_SE	GNE_PVAL	UKB_ALL_CASES_NUMVAR	AMP_NIH_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	NTOTAL	META_ANALYSIS_GROUP
GBA	9.887466111709266	4.7181895780679894e-23	0.52337	0.0701377	8.51999e-14	0.567902	0.129786	1.21058e-05	0.690006718764457	0.130488388603738	1.23743257136136e-07	85.0	17.0	18.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
P2RY10	4.135326419882734	3.5445044892598045e-05	1.51214	0.365664	3.54451e-05	NA	NA	NA	NA	NA	NA	19.0	NA	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ZNF184	3.9077663103879727	9.31533398874976e-05	0.21347	0.105231	0.0425017	0.380108	0.191578	0.047245	0.506065190243633	0.183638063616392	0.0058553254772467	84.0	5.0	33.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
STK38L	3.9023338881736325	9.526961690979588e-05	0.528891	0.254033	0.0373442	1.22117	1.33842	0.36156	2.70889872077252	0.719558784846649	0.0001667716361832	37.0	2.0	11.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
LSR	3.731468377646667	0.00019036690924193584	0.145308	0.0683974	0.0336307	0.373314	0.190697	0.050274	0.288528324303496	0.121179626371041	0.0172658535488151	149.0	25.0	72.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
NUP210	3.7023314011653214	0.0002136273205878023	0.0973278	0.0448132	0.0298666	0.165424	0.0915671	0.0708268	0.219716494616765	0.0902629415717801	0.0149254576408459	370.0	59.0	199.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
IRX6	3.6587067722556483	0.0002534911745559799	0.434849	0.120971	0.000324811	0.522463	0.364466	0.151714	0.283929940875569	0.216921171358496	0.190565384718304	107.0	12.0	49.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
H2BC21	3.625775187606396	0.00028809591339751424	0.468407	0.195253	0.0164411	1.83914	0.674012	0.00635946	NA	NA	NA	14.0	2.0	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
UMODL1	-3.573277662680266	0.0003525405910120903	-0.0742161	0.0455737	0.103422	-0.235628	0.0976252	0.0157957	-0.214663105618905	0.0999821152577038	0.0317920839346485	348.0	68.0	180.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
PARP9	3.5538384088930837	0.00037965240555065265	0.157022	0.0739333	0.0336845	0.255248	0.155686	0.101108	0.454820581867328	0.190135206803651	0.016752720582394	135.0	27.0	78.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
LAT	3.5501249029716204	0.00038504841765601164	0.309832	0.149089	0.0376945	0.232223	0.384879	0.546265	1.07426120812588	0.309811928992314	0.0005253972822846	54.0	11.0	24.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
SDR16C5	-3.5491756287751475	0.0003864392442839968	-0.425907	0.222463	0.0555556	-1.1465	0.519255	0.0272457	-0.739828703929925	0.365370179635405	0.0428802683518319	57.0	6.0	38.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RP11-548K23.11	3.5159999845321317	0.0004381010097339117	NA	NA	NA	NA	NA	NA	0.679035576719547	0.193127297982598	0.0004381010097339	NA	NA	29.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RNF114	3.4938935398531945	0.00047603080540856195	0.113843	0.11164	0.307855	0.268103	0.194885	0.168915	0.759777852904681	0.207807061135968	0.0002560120421331	41.0	9.0	23.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
PPFIBP2	3.460989802693337	0.0005381931980384001	0.185745	0.0655942	0.00462977	0.0731436	0.126912	0.564391	0.361875651361123	0.139906801754431	0.0096942680878741	212.0	47.0	105.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
KBTBD13	-3.375960366576533	0.000735585147558449	-0.174924	0.0719467	0.0150445	-0.477905	0.184575	0.00961947	-0.173691956887367	0.210073145352447	0.408341038379032	131.0	14.0	23.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
LRRK2	3.3663395563231404	0.0007617287981701114	0.0467883	0.0551034	0.395826	0.33171	0.109715	0.0024996	0.196976010815823	0.100590737203525	0.0502074479199019	395.0	56.0	179.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
OR51I1	3.353379659409487	0.000798311202619825	0.168618	0.0701629	0.0162507	0.104057	0.118341	0.379239	0.421587853593874	0.166919867007667	0.011547129402261	58.0	14.0	36.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
STIMATE	3.3404094772047372	0.0008365494728743574	0.415441	0.135496	0.00216889	0.24453	0.147487	0.0973217	NA	NA	NA	42.0	6.0	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ADORA1	3.3186672575414216	0.0009044813692480448	0.144216	0.121377	0.234768	0.438241	0.297819	0.141156	0.659743667814118	0.213617582461457	0.0020121481610491	45.0	7.0	27.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ASPSCR1	3.301481479597324	0.0009617568410323558	0.257244	0.0729355	0.000420296	0.0650107	0.149067	0.662753	0.27140244960989	0.154626802644263	0.0792234611149891	201.0	41.0	92.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
MAGT1	3.259496707226656	0.0011161007610322687	0.448422	0.137574	0.00111613	NA	NA	NA	NA	NA	NA	29.0	NA	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ZNF433-AS1	3.257989102885313	0.001122047149402985	0.268302	0.0701682	0.000131465	0.113089	0.144284	0.433162	NA	NA	NA	159.0	31.0	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
IPO4	-3.2368823979457915	0.001208432006110975	-0.30753	0.100903	0.00230542	-0.391247	0.177585	0.0275843	-0.0559858941421384	0.157479267579732	0.722205463198752	209.0	30.0	128.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
 
COHORT: GNE_AMP_NIH_UKB_ALL_PD_PHENO_META; VARIANT GROUP: ALL_LOF_HC_LOFTEE; MAF: 0.001; NUMVAR >= 2
GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	UKB_ALL_CASES_BETA	UKB_ALL_CASES_SE	UKB_ALL_CASES_PVAL	AMP_NIH_BETA	AMP_NIH_SE	AMP_NIH_PVAL	GNE_BETA	GNE_SE	GNE_PVAL	UKB_ALL_CASES_NUMVAR	AMP_NIH_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	NTOTAL	META_ANALYSIS_GROUP
B3GNT3	4.124196323014681	3.720314751138189e-05	2.68973	1.15607	0.019986	NA	NA	NA	3.74312143465989	1.06766982470067	0.0004551017125469	3.0	NA	3.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RHOT1	3.5440716920054194	0.0003939980934907832	1.3322	0.403416	0.000958919	NA	NA	NA	2.62387757959348	1.53463246781295	0.0873073246960329	7.0	NA	3.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
TRAPPC3L	3.349312381129656	0.0008101240175517889	0.897772	0.408838	0.0280984	0.48783	0.927199	0.598795	1.93465590208608	0.628311518023376	0.0020760267795094	12.0	3.0	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RP11-400G3.5	3.112899632413066	0.0018525900862235362	NA	NA	NA	NA	NA	NA	1.43633195258633	0.461412869734226	0.0018525900862235	NA	NA	10.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
FLYWCH1	3.057228067457272	0.0022339423368667147	0.93627	0.372884	0.0120429	NA	NA	NA	0.673856807453204	0.371745062728614	0.0698803743089678	17.0	NA	14.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
NOC2L	3.056221764227844	0.0022414540542561086	NA	NA	NA	NA	NA	NA	1.26734113357892	0.414675776611752	0.0022414540542561	NA	NA	15.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
SLC17A1	-3.042402310276703	0.002346979837439067	NA	NA	NA	NA	NA	NA	-1.69759772015894	0.557979368614319	0.002346979837439	NA	NA	12.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ZNF587B	3.0318646066294477	0.002430481939366744	NA	NA	NA	NA	NA	NA	2.31028989661085	0.762002990357548	0.0024304819393667	NA	NA	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
SPINK4	2.9538173935838454	0.003138696669075228	NA	NA	NA	NA	NA	NA	0.749688767082974	0.253803355857886	0.0031386966690752	NA	NA	2.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
LY6K	2.9354628482829033	0.0033305049089437312	NA	NA	NA	NA	NA	NA	2.69839708249393	0.919240754170115	0.0033305049089437	NA	NA	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
USP13	2.910664026056153	0.00360661604781899	NA	NA	NA	NA	NA	NA	2.61132224112706	0.897156874771737	0.0036066160478189	NA	NA	6.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
LNPK	2.8935885932437624	0.0038086682902441207	1.03009	0.475951	0.0304437	NA	NA	NA	2.3228565716243	1.20487935766465	0.0538706987442293	10.0	NA	3.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
OTUD7B	2.87536499995895	0.00403560680245659	2.10138	0.730822	0.00403557	NA	NA	NA	NA	NA	NA	7.0	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
KCNA3	2.835909020198129	0.004569546113871674	1.94498	0.91334	0.0332104	NA	NA	NA	1.97303286395872	1.04889617777735	0.0599642476389752	5.0	NA	3.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
KIN	2.806766914058083	0.005004143607014746	NA	NA	NA	NA	NA	NA	1.35245640322359	0.481855617026702	0.0050041436070147	NA	NA	8.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ENOX2	2.749914816928237	0.005961075886752556	2.00958	0.730779	0.00596116	NA	NA	NA	NA	NA	NA	9.0	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
MYL1	2.7368775597513504	0.006202537381137584	2.25848	0.866607	0.00915758	NA	NA	NA	0.909579222527767	0.719369632688848	0.206082374237051	2.0	NA	3.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ECD	2.725050281418556	0.006429169523822502	1.02706	0.443759	0.020643	NA	NA	NA	0.882518342440177	0.573306360345668	0.123719215446128	4.0	NA	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RAD51B	2.7170263151563128	0.006587137012158711	0.929889	0.391175	0.0174462	NA	NA	NA	0.868260027410425	0.59255300721949	0.142842719656024	10.0	NA	11.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ING1	2.711947912139798	0.006688910279520709	1.09031	0.570416	0.0559503	NA	NA	NA	1.30060170852165	0.676043240737701	0.0543741447748026	11.0	NA	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ENTPD8	-2.707837062256612	0.006772326229535262	-0.757276	0.740303	0.306342	-1.58509	0.817629	0.052545	-1.16387329058535	0.673326522403539	0.0838910667717844	10.0	2.0	2.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
TOX2	2.694330660905949	0.007053015571577561	NA	NA	NA	NA	NA	NA	2.66582487018333	0.989420084499564	0.0070530155715774	NA	NA	3.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ANKRD35	2.6913700372967484	0.00711592176560694	NA	NA	NA	0.622617	0.525273	0.23589	0.787903283802311	0.300628770593821	0.0087710527736246	NA	3.0	11.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
FER1L5	2.6816216155770527	0.00732662781441824	NA	NA	NA	NA	NA	NA	1.21105382472761	0.451612493609396	0.0073266278144184	NA	NA	16.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
 
COHORT: GNE_AMP_NIH_UKB_ALL_PD_PHENO_META; VARIANT GROUP: ALL_LOF_HC_LOFTEE; MAF: 0.01; NUMVAR >= 2
