COHORT: GNE_AMP_NIH_UKB_CASE_PARENT_PROXY_META; VARIANT GROUP: ALL_MISSENSE_SNPEFF; MAF: 0.001; NUMVAR >= 3
GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	UKB_CASE_BETA	UKB_CASE_SE	UKB_CASE_PVAL	AMP_NIH_BETA	AMP_NIH_SE	AMP_NIH_PVAL	UKB_PARENT_PROXY_BETA	UKB_PARENT_PROXY_SE	UKB_PARENT_PROXY_PVAL	GNE_BETA	GNE_SE	GNE_PVAL	UKB_CASE_NUMVAR	AMP_NIH_NUMVAR	UKB_PARENT_PROXY_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	NTOTAL	META_ANALYSIS_GROUP
BOLA1	3.539214284522696	0.00040131994037041226	0.81634	0.599464	0.173267	0.826028	0.617221	0.180798	0.296217	0.25401	0.243549	1.09138563558828	0.339764698226677	0.0013173145056984	8.0	3.0	23.0	15.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
PPIP5K2	3.446284052075805	0.0005683526083935913	0.619841	0.305804	0.0426705	0.0611586	0.291612	0.833882	0.211527	0.136807	0.122063	0.671300887867552	0.215869810952671	0.0018724650652228	32.0	15.0	115.0	57.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
BEAN1	-3.4223734247997575	0.0006207699311914794	-1.00692	0.735726	0.171122	-0.869665	0.340008	0.0105342	-0.335697	0.240396	0.162584	-0.313855769002453	0.206222471101135	0.128027102977151	18.0	19.0	63.0	49.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
LAT	3.4134250442660417	0.0006415180285039582	0.0387162	0.45163	0.931685	0.232223	0.384879	0.546265	0.44587	0.166974	0.00757858	1.07426120812588	0.309811928992314	0.0005253972822846	20.0	11.0	47.0	24.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
RAP1A	3.408349056398056	0.000653572326391416	1.43945	0.547928	0.00861221	NA	NA	NA	0.758422	0.33466	0.0234364	0.634778918531974	0.62842637265408	0.312443235681033	7.0	NA	15.0	6.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
CDC26	3.3483834012977565	0.0008128447603878772	1.81287	0.771645	0.0188055	0.622977	0.612473	0.309082	0.462142	0.280879	0.099899	1.00603928570116	0.597085305897358	0.0920045527969875	5.0	3.0	13.0	10.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
ATP1A1-AS1	3.3431343608317685	0.0008283778051649534	1.28723	0.654757	0.0493026	NA	NA	NA	0.994094	0.359926	0.00574592	NA	NA	NA	10.0	NA	27.0	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
KIF2C	3.3246949558521557	0.0008851532370756433	0.8481	0.312543	0.00665668	1.22484	0.468176	0.00889171	0.235711	0.153844	0.125488	-0.0705574869300618	0.332042618764483	0.831720665163501	33.0	7.0	85.0	44.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
TRMT12	3.3187034448443162	0.0009043641746241018	0.777248	0.346621	0.0249384	0.78984	0.370821	0.0331734	0.298159	0.17548	0.0892997	0.174548865418295	0.308407551784547	0.571415401452678	17.0	10.0	58.0	41.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
LIG3	3.2772207327264846	0.0010483437875684525	0.276857	0.283825	0.329338	0.737653	0.278599	0.00810369	0.380579	0.127858	0.00291481	-0.0094545535920954	0.20867826959866	0.963862733139362	43.0	15.0	143.0	70.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
C11orf63	3.273500610042357	0.0010622416134898945	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.649373717273799	0.1983728719285	0.0010622416134898	NA	NA	NA	68.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
GPR162	-3.2592190721210565	0.0011171936334038923	-0.498013	0.32251	0.122544	-0.375515	0.278523	0.177582	-0.304823	0.134172	0.0230931	-0.288759071046398	0.213241610491489	0.175691602216517	46.0	21.0	128.0	76.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
RASAL1	3.2511702017323683	0.0011493103135177746	0.124666	0.289023	0.666225	0.294965	0.221892	0.183743	0.237864	0.109265	0.0294847	0.456605215991804	0.178031729335	0.0103252945807353	50.0	23.0	135.0	85.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
DPYSL4	3.2507218948012357	0.0011511240004182643	0.44199	0.253752	0.0815406	0.732753	0.300019	0.0145918	0.119296	0.137731	0.386407	0.380798798775031	0.262417609407676	0.146747130032951	55.0	18.0	121.0	55.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
 
COHORT: GNE_AMP_NIH_UKB_CASE_PARENT_PROXY_META; VARIANT GROUP: ALL_MISSENSE_SNPEFF; MAF: 0.01; NUMVAR >= 3
GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	UKB_CASE_BETA	UKB_CASE_SE	UKB_CASE_PVAL	AMP_NIH_BETA	AMP_NIH_SE	AMP_NIH_PVAL	UKB_PARENT_PROXY_BETA	UKB_PARENT_PROXY_SE	UKB_PARENT_PROXY_PVAL	GNE_BETA	GNE_SE	GNE_PVAL	UKB_CASE_NUMVAR	AMP_NIH_NUMVAR	UKB_PARENT_PROXY_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	NTOTAL	META_ANALYSIS_GROUP
GBA	9.879696779028583	5.098695648144985e-23	0.612334	0.169851	0.000312011	0.567902	0.129786	1.21058e-05	0.527896	0.081331	8.54366e-11	0.690006718764457	0.130488388603738	1.23743257136136e-07	32.0	17.0	76.0	18.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
NUP210	3.8417584320848044	0.00012215602904671385	0.258292	0.114357	0.0239062	0.165424	0.0915671	0.0708268	0.0610155	0.051529	0.236374	0.219716494616765	0.0902629415717801	0.0149254576408459	119.0	59.0	324.0	199.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
EEA1	3.8248026498001217	0.00013087688176101887	0.587934	0.125504	2.80507e-06	0.0578216	0.112084	0.605938	0.0236056	0.062345	0.704963	0.262995525418615	0.127019342380937	0.0384040900142764	50.0	27.0	149.0	84.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
ZNF184	3.806230586642722	0.00014110083893088625	0.133833	0.265291	0.613928	0.380108	0.191578	0.047245	0.284738	0.120238	0.0178785	0.506065190243633	0.183638063616392	0.0058553254772467	18.0	5.0	74.0	33.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
LSR	3.801037162794583	0.00014409168680055057	0.495307	0.167506	0.00310709	0.373314	0.190697	0.050274	0.0247394	0.0807165	0.759226	0.288528324303496	0.121179626371041	0.0172658535488151	44.0	25.0	125.0	72.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
P2RY10	3.785388468606289	0.0001534686529379944	NA	NA	NA	NA	NA	NA	1.62322	0.428812	0.000153462	NA	NA	NA	NA	NA	15.0	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
UMODL1	-3.6833083679422463	0.0002302263732787836	-0.160542	0.122394	0.189626	-0.235628	0.0976252	0.0157957	-0.0780795	0.0522508	0.135092	-0.214663105618905	0.0999821152577038	0.0317920839346485	136.0	68.0	294.0	180.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
IRX6	3.6826247997936505	0.0002308447940581559	0.488481	0.31145	0.116786	0.522463	0.364466	0.151714	0.425088	0.139171	0.00225489	0.283929940875569	0.216921171358496	0.190565384718304	39.0	12.0	90.0	49.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
STK38L	3.6717739590982905	0.00024087268472816568	0.967559	0.715213	0.176111	NA	NA	NA	0.367667	0.295979	0.21416	2.70889872077252	0.719558784846649	0.0001667716361832	8.0	NA	33.0	11.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
RNF114	3.593631856634001	0.00032610050435360663	0.520745	0.262857	0.0475803	0.268103	0.194885	0.168915	0.0224801	0.128974	0.86163	0.759777852904681	0.207807061135968	0.0002560120421331	14.0	9.0	36.0	23.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
PARP9	3.553219829304065	0.00038054631579815705	0.106831	0.190538	0.575016	0.255248	0.155686	0.101108	0.210839	0.0838605	0.0119313	0.454820581867328	0.190135206803651	0.016752720582394	46.0	27.0	124.0	78.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
RP11-548K23.11	3.5159999845321317	0.0004381010097339117	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.679035576719547	0.193127297982598	0.0004381010097339	NA	NA	NA	29.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
SDR16C5	-3.4413931057146603	0.0005787270836448264	-0.0632773	0.546033	0.907743	-1.1465	0.519255	0.0272457	-0.712475	0.28116	0.0112752	-0.739828703929925	0.365370179635405	0.0428802683518319	11.0	6.0	52.0	38.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
RAP1A	3.408349056398056	0.000653572326391416	1.43945	0.547928	0.00861221	NA	NA	NA	0.758422	0.33466	0.0234364	0.634778918531974	0.62842637265408	0.312443235681033	7.0	NA	15.0	6.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
ASPSCR1	3.365591790869924	0.0007637964959272011	0.303396	0.195351	0.120404	0.0650107	0.149067	0.662753	0.24771	0.0829356	0.00281938	0.27140244960989	0.154626802644263	0.0792234611149891	61.0	41.0	180.0	92.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
ATP1A1-AS1	3.3431343608317685	0.0008283778051649534	1.28723	0.654757	0.0493026	NA	NA	NA	0.994094	0.359926	0.00574592	NA	NA	NA	10.0	NA	27.0	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
TRMT12	3.3187034448443162	0.0009043641746241018	0.777248	0.346621	0.0249384	0.78984	0.370821	0.0331734	0.298159	0.17548	0.0892997	0.174548865418295	0.308407551784547	0.571415401452678	17.0	10.0	58.0	41.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
PEBP4	-3.3175967285485792	0.0009079547116369834	-0.279313	0.24368	0.251701	-0.395828	0.290004	0.172283	-0.282024	0.107701	0.0088294	-0.458683552833302	0.304676649351212	0.132201599735495	8.0	5.0	50.0	20.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
KBTBD13	-3.2896141353512602	0.0010032485888412277	-0.122279	0.190257	0.520414	-0.477905	0.184575	0.00961947	-0.207192	0.0822031	0.0117191	-0.173691956887367	0.210073145352447	0.408341038379032	43.0	14.0	113.0	23.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
INTU	3.286539512490333	0.0010142654335407988	0.347283	0.225209	0.123063	0.351032	0.158024	0.0263252	0.10149	0.0963244	0.292055	0.291334056735018	0.165905868326115	0.0790849588137064	38.0	24.0	111.0	72.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
LAT	3.276651274244482	0.0010504602369639173	-0.0730671	0.389023	0.851016	0.232223	0.384879	0.546265	0.44587	0.166974	0.00757858	1.07426120812588	0.309811928992314	0.0005253972822846	21.0	11.0	47.0	24.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
EMP1	3.260470857402711	0.001112273967042832	0.684074	0.282683	0.0155234	0.174762	0.213002	0.41195	0.310005	0.136251	0.0228909	0.216903055498909	0.215762125360535	0.314758236240871	13.0	10.0	32.0	17.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
GPR162	-3.2592190721210565	0.0011171936334038923	-0.498013	0.32251	0.122544	-0.375515	0.278523	0.177582	-0.304823	0.134172	0.0230931	-0.288759071046398	0.213241610491489	0.175691602216517	46.0	21.0	128.0	76.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
L3HYPDH	-3.2481122703167986	0.0011617342161549123	-1.23547	0.462065	0.00749955	0.166068	0.246656	0.50077	-0.182196	0.125231	0.145704	-1.08250439733786	0.35599075973804	0.0023593356577296	25.0	10.0	67.0	35.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
 
COHORT: GNE_AMP_NIH_UKB_CASE_PARENT_PROXY_META; VARIANT GROUP: ALL_LOF_HC_LOFTEE; MAF: 0.001; NUMVAR >= 3
GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	UKB_CASE_BETA	UKB_CASE_SE	UKB_CASE_PVAL	AMP_NIH_BETA	AMP_NIH_SE	AMP_NIH_PVAL	UKB_PARENT_PROXY_BETA	UKB_PARENT_PROXY_SE	UKB_PARENT_PROXY_PVAL	GNE_BETA	GNE_SE	GNE_PVAL	UKB_CASE_NUMVAR	AMP_NIH_NUMVAR	UKB_PARENT_PROXY_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	NTOTAL	META_ANALYSIS_GROUP
B3GNT3	3.762712896251232	0.0001680801193944064	NA	NA	NA	NA	NA	NA	2.22864	1.22763	0.0694624	3.74312143465989	1.06766982470067	0.0004551017125469	NA	NA	3.0	3.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
TRAPPC3L	3.2197385933664666	0.0012830753859268396	NA	NA	NA	0.48783	0.927199	0.598795	0.915604	0.464424	0.0486686	1.93465590208608	0.628311518023376	0.0020760267795094	NA	3.0	11.0	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
LNPK	3.181847952005855	0.0014633862234025839	NA	NA	NA	NA	NA	NA	1.29897	0.505055	0.0101133	2.3228565716243	1.20487935766465	0.0538706987442293	NA	NA	8.0	3.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
GLIPR2	3.1806096636147028	0.0014696550315069327	NA	NA	NA	NA	NA	NA	1.77409	0.557783	0.00146969	NA	NA	NA	NA	NA	5.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
RP11-400G3.5	3.112899632413066	0.0018525900862235362	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.43633195258633	0.461412869734226	0.0018525900862235	NA	NA	NA	10.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
NOC2L	3.056221764227844	0.0022414540542561086	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.26734113357892	0.414675776611752	0.0022414540542561	NA	NA	NA	15.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
SLC17A1	-3.042402310276703	0.002346979837439067	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.69759772015894	0.557979368614319	0.002346979837439	NA	NA	NA	12.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
ZNF587B	3.0318646066294477	0.002430481939366744	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.31028989661085	0.762002990357548	0.0024304819393667	NA	NA	NA	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
FLYWCH1	2.9367584241373876	0.00331662354944501	1.02219	1.23519	0.407921	NA	NA	NA	0.968059	0.395712	0.0144303	0.673856807453204	0.371745062728614	0.0698803743089678	3.0	NA	17.0	14.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
LY6K	2.9354628482829033	0.0033305049089437312	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.69839708249393	0.919240754170115	0.0033305049089437	NA	NA	NA	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
USP13	2.910664026056153	0.00360661604781899	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.61132224112706	0.897156874771737	0.0036066160478189	NA	NA	NA	6.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
MEI1	2.899569861415407	0.0037367506235431256	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.82844058953167	0.630590286463775	0.0037367506235431	NA	NA	NA	9.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
TRPM2	2.8404798231393866	0.004504572245224133	0.903114	0.386882	0.0195778	0.314673	0.444494	0.478986	0.52464	0.220115	0.01715	0.0958901214098854	0.375740131743981	0.798566082725867	18.0	5.0	31.0	16.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
KCNA3	2.8215579821243355	0.004779099739915238	NA	NA	NA	NA	NA	NA	1.92885	0.914481	0.0349244	1.97303286395872	1.04889617777735	0.0599642476389752	NA	NA	5.0	3.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
KIN	2.806766914058083	0.005004143607014746	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.35245640322359	0.481855617026702	0.0050041436070147	NA	NA	NA	8.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
ALG8	2.758586659796047	0.005805191079041957	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.66839485358398	0.604800595137849	0.0058051910790419	NA	NA	NA	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
