COHORT: META-GROUP1; APPROACH: RESULTS_WEIGHTEDZ_CMCWALD; VARIANT GROUP: ALL_MISSENSE_SNPEFF; MAF: 0.001; NUMVAR >= 4
GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_ALL_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_ALL_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
KCTD20	-3.391523382040241	0.000695052322509764	3.1579825011336884	0.0202996	0.0222611524641467	0.204928	8.0	29.0	67.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP1
RASAL1	3.3891266718168227	0.0007011561229535197	3.154185269069097	0.183743	0.0103252945807353	0.0481454	23.0	85.0	160.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP1
TMEM139	-3.3712928747830055	0.0007481627405909591	3.12600392398955	0.185743	0.0103515200383539	0.050925	5.0	22.0	37.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP1
FAM186B	3.294246183785626	0.000986860253381573	3.0057443422464747	0.0301275	0.0013922024979948	0.733003	29.0	81.0	147.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP1
C11orf63	3.2735006100423565	0.0010622416134898967	2.9737766890258692	NA	0.0010622416134898	NA	NA	68.0	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP1
BEAN1	-3.2704440806852966	0.0010737876967212916	2.969081576417355	0.0105342	0.128027102977151	0.112995	19.0	49.0	68.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP1
RIPOR2	3.262540832795766	0.0011041826446497346	2.956959083307171	0.0018959	NA	0.131591	28.0	NA	160.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP1
C5orf38	-3.2340320634460906	0.0012205575190642403	2.913441749533482	0.151215	0.0460500114739601	0.0299071	12.0	18.0	56.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP1
GDF9	3.221537464693004	0.0012750479115067569	2.8944734957695855	0.0468296	0.0004364251712774	0.940202	7.0	43.0	66.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP1
LOC101928123	3.216834447416954	0.00129613366709548	2.8873502084279616	NA	NA	0.00129614	NA	NA	12.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP1
NPRL3	3.2093039946588955	0.0013305673146988605	2.875963149175159	0.219101	0.0003915666431376	0.433006	25.0	66.0	158.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP1
ATP8B2	3.207279984130883	0.0013399651344499148	2.872906501719523	0.165826	0.0286438527755737	0.047582	21.0	81.0	170.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP1
DSEL	3.200776617449689	0.0013705774247601162	2.8630964258696046	0.0124232	0.030819045993025	0.376364	22.0	77.0	198.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP1
 
COHORT: META-GROUP1; APPROACH: RESULTS_WEIGHTEDZ_CMCWALD; VARIANT GROUP: ALL_MISSENSE_SNPEFF; MAF: 0.01; NUMVAR >= 4
GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_ALL_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_ALL_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
GBA	9.887466111709266	4.7181895780679894e-23	22.32622461303611	1.21058e-05	1.23743257136136e-07	8.51999e-14	17.0	18.0	85.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP1
P2RY10	4.135326419882734	3.5445044892598045e-05	4.45044446925989	NA	NA	3.54451e-05	NA	NA	19.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP1
STK38L	4.134201517654256	3.561908393212491e-05	4.448317254113065	NA	0.0001667716361832	0.0373442	NA	11.0	37.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP1
ZNF184	3.9077663103879727	9.31533398874976e-05	4.030801569445062	0.047245	0.0058553254772467	0.0425017	5.0	33.0	84.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP1
LSR	3.731468377646667	0.00019036690924193584	3.7204085411542582	0.050274	0.0172658535488151	0.0336307	25.0	72.0	149.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP1
NUP210	3.7023314011653214	0.0002136273205878023	3.6703432065976975	0.0708268	0.0149254576408459	0.0298666	59.0	199.0	370.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP1
IRX6	3.6587067722556483	0.0002534911745559799	3.5960371562847233	0.151714	0.190565384718304	0.000324811	12.0	49.0	107.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP1
UMODL1	-3.573277662680266	0.0003525405910120903	3.452790871757208	0.0157957	0.0317920839346485	0.103422	68.0	180.0	348.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP1
PARP9	3.5538384088930837	0.00037965240555065265	3.42061384400399	0.101108	0.016752720582394	0.0336845	27.0	78.0	135.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP1
LAT	3.5501249029716204	0.00038504841765601164	3.414484656988301	0.546265	0.0005253972822846	0.0376945	11.0	24.0	54.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP1
SDR16C5	-3.5491756287751475	0.0003864392442839968	3.4129187758628103	0.0272457	0.0428802683518319	0.0555556	6.0	38.0	57.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP1
RP11-548K23.11	3.5159999845321317	0.0004381010097339117	3.3584257458600333	NA	0.0004381010097339	NA	NA	29.0	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP1
RNF114	3.4938935398531945	0.00047603080540856195	3.3223649418466157	0.168915	0.0002560120421331	0.307855	9.0	23.0	41.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP1
PPFIBP2	3.460989802693337	0.0005381931980384001	3.2690617953739296	0.564391	0.0096942680878741	0.00462977	47.0	105.0	212.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP1
KBTBD13	-3.375960366576533	0.000735585147558449	3.1333670483280986	0.00961947	0.408341038379032	0.0150445	14.0	23.0	131.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP1
LRRK2	3.3663395563231404	0.0007617287981701114	3.1181996250158504	0.0024996	0.0502074479199019	0.395826	56.0	179.0	395.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP1
OR51I1	3.353379659409487	0.000798311202619825	3.097827776275941	0.379239	0.011547129402261	0.0162507	14.0	36.0	58.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP1
STIMATE	3.3404094772047372	0.0008365494728743574	3.0775083701098374	0.0973217	NA	0.00216889	6.0	NA	42.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP1
ADORA1	3.3186672575414216	0.0009044813692480448	3.043600374427274	0.141156	0.0020121481610491	0.234768	7.0	27.0	45.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP1
ASPSCR1	3.301481479597324	0.0009617568410323558	3.0169347158482474	0.662753	0.0792234611149891	0.000420296	41.0	92.0	201.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP1
MAGT1	3.259496707226656	0.0011161007610322687	2.9522965957345226	NA	NA	0.00111613	NA	NA	29.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP1
ZNF433-AS1	3.257989102885313	0.001122047149402985	2.94998889326229	0.433162	NA	0.000131465	31.0	NA	159.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP1
IPO4	-3.2368823979457915	0.001208432006110975	2.917777780673413	0.0275843	0.722205463198752	0.00230542	30.0	128.0	209.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP1
C5orf38	-3.2340320634460906	0.0012205575190642403	2.913441749533482	0.151215	0.0460500114739601	0.0299071	12.0	18.0	56.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP1
PEBP4	-3.226172671135703	0.0012545764391669288	2.901502872733542	0.172283	0.132201599735495	0.00657749	5.0	20.0	54.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP1
 
COHORT: META-GROUP1; APPROACH: RESULTS_WEIGHTEDZ_CMCWALD; VARIANT GROUP: ALL_LOF_HC_LOFTEE; MAF: 0.001; NUMVAR >= 4
GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_ALL_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_ALL_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
ZSCAN25	3.791306574483068	0.00014985683444540516	3.8243234456162907	NA	NA	0.000149851	NA	NA	18.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
TRAPPC3L	3.7300209428633817	0.00019146385536681065	3.7179132002662922	NA	0.0020760267795094	0.0280984	NA	4.0	12.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
RHOT1	3.3022983719039405	0.0009589600361495601	3.018199491308342	NA	NA	0.000958919	NA	NA	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
KIF19	3.1259939847169798	0.0017720517642290255	2.7515235958853834	NA	0.239361081394202	0.00117763	NA	10.0	18.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
RP11-400G3.5	3.112899632413066	0.0018525900862235362	2.732220664321094	NA	0.0018525900862235	NA	NA	10.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
FLYWCH1	3.057228067457272	0.0022339423368667147	2.650928041204205	NA	0.0698803743089678	0.0120429	NA	14.0	17.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
NOC2L	3.056221764227844	0.0022414540542561086	2.6494701589563636	NA	0.0022414540542561	NA	NA	15.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
SLC17A1	-3.042402310276703	0.002346979837439067	2.629490641345833	NA	0.002346979837439	NA	NA	12.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
ZNF587B	3.0318646066294477	0.002430481939366744	2.6143076017700624	NA	0.0024304819393667	NA	NA	7.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
TRAP1	2.952055033177449	0.003156666653530555	2.5007712775236564	NA	0.0031566666535306	NA	NA	10.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
LY6K	2.9354628482829033	0.0033305049089437312	2.4774899218853377	NA	0.0033305049089437	NA	NA	4.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
USP13	2.910664026056153	0.00360661604781899	2.442900089228362	NA	0.0036066160478189	NA	NA	6.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
MEI1	2.899569861415407	0.0037367506235431256	2.4275058843373882	NA	0.0037367506235431	NA	NA	9.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
TMEM252	2.8791789498662923	0.0039871202397343325	2.3993406671051685	NA	NA	0.00398718	NA	NA	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
OTUD7B	2.87536499995895	0.00403560680245659	2.39409115458628	NA	NA	0.00403557	NA	NA	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
KIN	2.806766914058083	0.005004143607014746	2.3006702355815043	NA	0.0050041436070147	NA	NA	8.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
ADGRF3	2.777846731470223	0.005472042291909992	2.261850554732355	NA	0.0278285634974999	0.0838493	NA	11.0	18.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
ALG8	2.758586659796047	0.005805191079041957	2.2361834807991734	NA	0.0058051910790419	NA	NA	7.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
RRP1B	2.757461361495823	0.005825209726449335	2.234688434010099	NA	NA	0.00582518	NA	NA	10.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
ENOX2	2.749914816928237	0.005961075886752556	2.2246753494021774	NA	NA	0.00596116	NA	NA	9.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
ECD	2.725050281418556	0.006429169523822502	2.191845122645725	NA	0.123719215446128	0.020643	NA	7.0	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
CTSA	2.719285236839447	0.00654231643070564	2.1842684542822797	NA	NA	0.0065425	NA	NA	14.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
RAD51B	2.7170263151563128	0.006587137012158711	2.1813033031585105	NA	0.142842719656024	0.0174462	NA	11.0	10.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
ING1	2.711947912139798	0.006688910279520709	2.1746446293382014	NA	0.0543741447748026	0.0559503	NA	7.0	11.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
GLIPR2	2.705015667146954	0.006830116802951334	2.1655718693135646	NA	NA	0.00682988	NA	NA	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
 
COHORT: META-GROUP1; APPROACH: RESULTS_WEIGHTEDZ_CMCWALD; VARIANT GROUP: ALL_LOF_HC_LOFTEE; MAF: 0.01; NUMVAR >= 4
GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_ALL_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_ALL_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
ZSCAN25	3.791306574483068	0.00014985683444540516	3.8243234456162907	NA	NA	0.000149851	NA	NA	18.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP1
TRAPPC3L	3.7300209428633817	0.00019146385536681065	3.7179132002662922	NA	0.0020760267795094	0.0280984	NA	4.0	12.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP1
SOAT2	3.31893398250192	0.0009036178957590848	3.0440151766533363	NA	0.0217959810802337	0.0164051	NA	8.0	15.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP1
RHOT1	3.3022983719039405	0.0009589600361495601	3.018199491308342	NA	NA	0.000958919	NA	NA	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP1
RP11-400G3.5	3.112899632413066	0.0018525900862235362	2.732220664321094	NA	0.0018525900862235	NA	NA	10.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP1
FLYWCH1	3.057228067457272	0.0022339423368667147	2.650928041204205	NA	0.0698803743089678	0.0120429	NA	14.0	17.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP1
NOC2L	3.056221764227844	0.0022414540542561086	2.6494701589563636	NA	0.0022414540542561	NA	NA	15.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP1
SLC17A1	-3.042402310276703	0.002346979837439067	2.629490641345833	NA	0.002346979837439	NA	NA	12.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP1
ZNF587B	3.0318646066294477	0.002430481939366744	2.6143076017700624	NA	0.0024304819393667	NA	NA	7.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP1
PHKB	-3.001403824576659	0.002687379156991436	2.5706710554974515	0.038219	0.112281879679084	0.124033	5.0	14.0	35.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP1
TRAP1	2.952055033177449	0.003156666653530555	2.5007712775236564	NA	0.0031566666535306	NA	NA	10.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP1
LY6K	2.9354628482829033	0.0033305049089437312	2.4774899218853377	NA	0.0033305049089437	NA	NA	4.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP1
NME3	-2.92352052726516	0.0034609740439793487	2.4608016577410674	NA	0.043064465862484	0.0347384	NA	5.0	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP1
USP13	2.910664026056153	0.00360661604781899	2.442900089228362	NA	0.0036066160478189	NA	NA	6.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP1
MEI1	2.899569861415407	0.0037367506235431256	2.4275058843373882	NA	0.0037367506235431	NA	NA	9.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP1
TMEM252	2.8791789498662923	0.0039871202397343325	2.3993406671051685	NA	NA	0.00398718	NA	NA	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP1
OTUD7B	2.87536499995895	0.00403560680245659	2.39409115458628	NA	NA	0.00403557	NA	NA	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP1
RTEL1-TNFRSF6B	-2.845183674563507	0.004438582067798526	2.352755745759457	NA	0.0096142444242319	0.151488	NA	17.0	23.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP1
KIN	2.806766914058083	0.005004143607014746	2.3006702355815043	NA	0.0050041436070147	NA	NA	8.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP1
CMYA5	2.805211260310229	0.005028361048949248	2.298573546432212	NA	0.0554334644759755	0.0401986	NA	34.0	11.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP1
ALG8	2.758586659796047	0.005805191079041957	2.2361834807991734	NA	0.0058051910790419	NA	NA	7.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP1
RRP1B	2.757461361495823	0.005825209726449335	2.234688434010099	NA	NA	0.00582518	NA	NA	10.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP1
ENOX2	2.749914816928237	0.005961075886752556	2.2246753494021774	NA	NA	0.00596116	NA	NA	9.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP1
ECD	2.725050281418556	0.006429169523822502	2.191845122645725	NA	0.123719215446128	0.020643	NA	7.0	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP1
IGFLR1	2.7234835592090465	0.00645974306993269	2.189784755306696	NA	0.181306001493002	0.0119088	NA	7.0	8.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP1
 
COHORT: META-GROUP1; APPROACH: RESULTS_WEIGHTEDZ_CMCWALD; VARIANT GROUP: ALL_MODERATE_HIGH_IMPACT_SNPEFF; MAF: 0.001; NUMVAR >= 4
GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_ALL_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_ALL_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
GBA	7.0785085617932735	1.4571412435070475e-12	11.836498349189066	0.013579	0.0664078248262314	1.77078e-15	15.0	19.0	99.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	META-GROUP1
CFAP52	-4.228394680337387	2.3536464693414905e-05	4.628258770016205	0.0152275	0.010622818696429	0.0191807	13.0	66.0	103.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	META-GROUP1
MET	-4.168072143611459	3.0718671779956634e-05	4.512597566345804	0.0249452	0.0496486096306934	0.00257763	25.0	109.0	224.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	META-GROUP1
RASAL1	3.8718645223406947	0.00010800598204662552	3.9665521899029326	0.183743	0.0108546767567477	0.00466059	23.0	89.0	177.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	META-GROUP1
P2RY10	3.8024854264668497	0.00014325169571286064	3.8439002284573993	NA	NA	0.000143249	NA	NA	22.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	META-GROUP1
BOLA1	3.763000679686615	0.0001678867453039883	3.7749835901547883	0.0881355	0.0013173145056984	0.109551	5.0	15.0	32.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	META-GROUP1
ENDOU	-3.700135952903533	0.00021548399577776448	3.66658497981188	0.00687814	0.272076016270057	0.00911182	15.0	42.0	81.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	META-GROUP1
NOP53	3.698563948946083	0.0002168227257923425	3.6638952001366096	0.0125628	NA	0.00624516	28.0	NA	146.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	META-GROUP1
LAT	3.678230651143685	0.00023485753165909445	3.6291955078437916	0.380547	0.0006520259662626	0.0370698	14.0	25.0	72.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	META-GROUP1
IRX6	3.597418694185089	0.0003213909122515947	3.4929664076435665	0.126354	0.134920439441739	0.00133983	13.0	63.0	121.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	META-GROUP1
C11orf63	3.554628543098328	0.0003785134359892994	3.4219186998562585	NA	0.0003785134359892	NA	NA	78.0	NA	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	META-GROUP1
GDF9	3.4550822842851163	0.0005501249021396589	3.259538695684549	0.0391026	0.0004273382441273	0.690134	8.0	53.0	78.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	META-GROUP1
FAM163B	3.4331605150004574	0.0005965887931129638	3.224324909094829	0.187239	0.0428875769024872	0.00924594	4.0	24.0	63.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	META-GROUP1
KCTD20	-3.431235047691727	0.0006008397473432498	3.2212413451768858	0.00641836	0.0398424444410282	0.245199	9.0	36.0	73.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	META-GROUP1
ADORA1	3.4250479977023653	0.0006146908150746759	3.211343276210828	0.500647	0.0005856064517807	0.0686536	6.0	26.0	44.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	META-GROUP1
STK38L	3.3410935029825644	0.000834491144489029	3.0785782676365683	NA	0.0002689684924	0.279461	NA	12.0	44.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	META-GROUP1
ALKBH6	3.3090609827293114	0.0009360944541336575	3.0286803277155085	0.0859909	0.0098662880839102	0.15156	6.0	15.0	53.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	META-GROUP1
MOB1A	3.2948064487954896	0.0009848949102425	3.0066101068999753	NA	0.197679723565431	0.000747936	NA	13.0	17.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	META-GROUP1
MRPL42	3.2935462107088913	0.0009893207781355368	3.00466286958948	0.392062	0.16904349327989	0.000513853	7.0	14.0	39.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	META-GROUP1
DPYSL4	3.277705138603193	0.0010465465510119596	2.9802414492192404	0.0032507	0.172116547380197	0.171085	19.0	59.0	162.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	META-GROUP1
NPRL3	3.251593720554877	0.0011475993368666422	2.9402097113804144	0.243694	0.0003106786473185	0.389848	26.0	67.0	171.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	META-GROUP1
FAM186B	3.2357534887305994	0.0012132210911791987	2.916060048325829	0.0301275	0.0009365982698737	0.898805	29.0	95.0	164.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	META-GROUP1
LOC101928123	3.216834447416954	0.00129613366709548	2.8873502084279616	NA	NA	0.00129614	NA	NA	12.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	META-GROUP1
