COHORT: GNE_AMP_NIH_UKB_CASE_PARENT_PROXY_META; VARIANT GROUP: ALL_MISSENSE_SNPEFF; MAF: 0.001; NUMVAR >= 4
GENE	TEST_STAT_SUMMEDZ	META_PVAL	UKB_CASE_BETA	UKB_CASE_SE	UKB_CASE_PVAL	AMP_NIH_BETA	AMP_NIH_SE	AMP_NIH_PVAL	UKB_PARENT_PROXY_BETA	UKB_PARENT_PROXY_SE	UKB_PARENT_PROXY_PVAL	GNE_BETA	GNE_SE	GNE_PVAL	UKB_CASE_NUMVAR	AMP_NIH_NUMVAR	UKB_PARENT_PROXY_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
PHKB	-4.449870964429908	8.592189727241505e-06	-1.23742	0.731361	0.0906565	-0.335799	0.611183	0.582714	-0.137739	0.227257	0.544453	-1.09726997859924	0.684761749402868	0.109064683295811	16.0	4.0	28.0	13.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
CAPN10	4.438267776434769	9.068575506539926e-06	3.37192	1.10577	0.00229306	NA	NA	NA	-0.606628	0.528426	0.250972	2.09947867433774	0.827585633303507	0.0111847897236652	4.0	NA	18.0	6.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
FLYWCH1	4.259057906080793	2.052902890804225e-05	NA	NA	NA	NA	NA	NA	0.968059	0.395712	0.0144303	0.673856807453204	0.371745062728614	0.0698803743089678	NA	NA	17.0	14.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
ANKDD1A	4.216688435905753	2.4791613110362193e-05	1.92457	0.821911	0.0192026	NA	NA	NA	0.131406	0.4556	0.773023	1.16744561844316	0.73577663689752	0.112584046760054	4.0	NA	10.0	8.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
C1orf94	4.20702055406143	2.587596146955367e-05	0.833656	0.875599	0.341047	NA	NA	NA	0.645874	0.584692	0.269316	1.1772512690261	0.547486687896851	0.0315328432973661	5.0	NA	8.0	6.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
SUSD2	4.163158985527188	3.138746576354275e-05	-0.0161425	0.767977	0.98323	NA	NA	NA	0.436618	0.332963	0.189754	1.78892450953829	0.622696462437501	0.0040676451049369	7.0	NA	18.0	10.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
ABCB5	4.125983255516575	3.691541279981992e-05	1.03498	0.71533	0.147936	0.943463	0.504431	0.0614348	-0.100173	0.412931	0.808322	0.43089499656155	0.409843088090779	0.293090627721931	5.0	5.0	18.0	13.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
ADGRF3	4.062660081735173	4.851665394717667e-05	-0.385489	1.0875	0.722983	NA	NA	NA	0.738653	0.333111	0.0265932	1.05560532044654	0.479887196713048	0.0278285634974999	5.0	NA	16.0	11.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
USP4	3.931326344785908	8.447850586975224e-05	0.200009	0.645706	0.756749	NA	NA	NA	0.375189	0.286733	0.190705	1.05260820156118	0.455068209809692	0.0207183586618177	7.0	NA	16.0	11.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
WDR33	3.7455199681958113	0.0001800205268206295	NA	NA	NA	NA	NA	NA	1.0941	0.369749	0.00308603	0.60580314567543	0.770266039936854	0.431583054272798	NA	NA	6.0	6.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
ZSCAN25	3.6809750201690328	0.0002323437694158523	NA	NA	NA	NA	NA	NA	1.23648	0.335911	0.000232348	NA	NA	NA	NA	NA	16.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
GDF9	3.6589807746621683	0.00025322033354453934	NA	NA	NA	NA	NA	NA	0.661069	0.375045	0.0779612	1.25125881053807	0.659827741080307	0.0579148855289338	NA	NA	9.0	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
UGGT2	3.6462811563324635	0.00026606286350039723	0.519451	0.522555	0.320194	NA	NA	NA	0.458428	0.246558	0.0629831	0.357938299064432	0.451423497683233	0.427830139971275	18.0	NA	39.0	19.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
CC2D2B	3.5787861434187036	0.00034519378545108036	0.866587	0.545887	0.112403	NA	NA	NA	0.331772	0.269027	0.21749	0.164308771700981	0.21674544663111	0.448407556432294	11.0	NA	27.0	12.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
CREB3L3	3.569288079513545	0.00035795264023200107	NA	NA	NA	NA	NA	NA	0.561041	0.476053	0.238587	1.1984769911006	0.501295035624267	0.0168134600402332	NA	NA	12.0	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
TPTE2	3.536979734162802	0.00040473072078433994	1.16206	0.52412	0.0266113	NA	NA	NA	0.150294	0.310248	0.62808	0.453754122500803	0.543168372675909	0.403501582505888	8.0	NA	19.0	6.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
CGNL1	3.517639709669699	0.0004354030848657851	2.27938	0.921309	0.0133586	NA	NA	NA	0.380772	0.659447	0.563662	0.35986365007886	0.771971478632271	0.64109965677824	4.0	NA	10.0	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
 
COHORT: GNE_AMP_NIH_UKB_CASE_PARENT_PROXY_META; VARIANT GROUP: ALL_LOF_HC_LOFTEE; MAF: 0.01; NUMVAR >= 4
GENE	TEST_STAT_SUMMEDZ	META_PVAL	UKB_CASE_BETA	UKB_CASE_SE	UKB_CASE_PVAL	AMP_NIH_BETA	AMP_NIH_SE	AMP_NIH_PVAL	UKB_PARENT_PROXY_BETA	UKB_PARENT_PROXY_SE	UKB_PARENT_PROXY_PVAL	GNE_BETA	GNE_SE	GNE_PVAL	UKB_CASE_NUMVAR	AMP_NIH_NUMVAR	UKB_PARENT_PROXY_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
PHKB	-5.958554099922505	2.544794057438038e-09	-1.23742	0.731361	0.0906565	-0.902617	0.435521	0.038219	-0.137739	0.227257	0.544453	-0.552281175440779	0.347779796438713	0.112281879679084	16.0	5.0	28.0	14.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
SOAT2	5.136960990981102	2.7921688538318835e-07	0.647054	0.32986	0.0498089	NA	NA	NA	0.154095	0.174819	0.378072	0.709482890173676	0.309290499961594	0.0217959810802337	6.0	NA	13.0	8.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
TRAPPC3L	5.050617821598083	4.4038337891553203e-07	NA	NA	NA	NA	NA	NA	0.915604	0.464424	0.0486686	1.93465590208608	0.628311518023376	0.0020760267795094	NA	NA	11.0	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
ING1	4.669901006574495	3.013449146998769e-06	0.678852	1.17347	0.562926	NA	NA	NA	1.53514	0.708235	0.0301918	1.30060170852165	0.676043240737701	0.0543741447748026	4.0	NA	7.0	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
SCPEP1	4.57825985645041	4.688600202564857e-06	1.28914	0.770649	0.0943676	1.42377	0.661801	0.0314481	0.105195	0.556518	0.850074	0.599394333816046	1.06072139183965	0.572018139634863	5.0	4.0	6.0	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
TMEM209	4.487475310678434	7.207216114790672e-06	0.525107	0.262502	0.0454579	NA	NA	NA	0.278223	0.121916	0.0224844	0.164383886063618	0.801891133554697	0.837575823830646	4.0	NA	8.0	8.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
LIPE	4.464048130191417	8.04254858056532e-06	1.08247	0.482303	0.0248084	NA	NA	NA	0.245708	0.291592	0.399429	0.299571310935429	0.217549259967976	0.168503749515612	9.0	NA	18.0	6.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
TRPM2	4.46238354866348	8.105297874901082e-06	0.27209	0.30346	0.369918	0.578397	0.301842	0.0553363	0.0989988	0.151983	0.5148	0.262138236676053	0.262623345348955	0.318205253216875	19.0	6.0	32.0	17.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
CAPN10	4.438267776434769	9.068575506539926e-06	3.37192	1.10577	0.00229306	NA	NA	NA	-0.606628	0.528426	0.250972	2.09947867433774	0.827585633303507	0.0111847897236652	4.0	NA	18.0	6.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
FLYWCH1	4.259057906080793	2.052902890804225e-05	NA	NA	NA	NA	NA	NA	0.968059	0.395712	0.0144303	0.673856807453204	0.371745062728614	0.0698803743089678	NA	NA	17.0	14.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
ADAM2	-4.230854065375388	2.3280568049477022e-05	-0.193245	0.301726	0.521871	NA	NA	NA	-0.286523	0.13338	0.0317009	-1.25526223413855	0.8703691326498	0.149240818003399	5.0	NA	10.0	9.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
ANKDD1A	4.216688435905753	2.4791613110362193e-05	1.92457	0.821911	0.0192026	NA	NA	NA	0.131406	0.4556	0.773023	1.16744561844316	0.73577663689752	0.112584046760054	4.0	NA	10.0	8.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
C1orf94	4.20702055406143	2.587596146955367e-05	0.833656	0.875599	0.341047	NA	NA	NA	0.645874	0.584692	0.269316	1.1772512690261	0.547486687896851	0.0315328432973661	5.0	NA	8.0	6.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
SUSD2	4.163158985527188	3.138746576354275e-05	-0.0161425	0.767977	0.98323	NA	NA	NA	0.436618	0.332963	0.189754	1.78892450953829	0.622696462437501	0.0040676451049369	7.0	NA	18.0	10.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
NME3	-4.082868422591777	4.448321139132568e-05	NA	NA	NA	NA	NA	NA	-0.384675	0.186755	0.0394194	-0.714047418602615	0.352949923634667	0.043064465862484	NA	NA	4.0	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
MICU2	-3.9775209304989962	6.963749478071671e-05	-0.588448	0.375502	0.117092	NA	NA	NA	-0.299591	0.148371	0.043467	-0.0846931970625769	0.216483607133594	0.695632986449899	7.0	NA	17.0	11.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
ABCB5	3.9432005045163665	8.040138091739395e-05	-0.0334145	0.546178	0.951217	0.464733	0.199699	0.0199567	0.146085	0.23342	0.531415	0.43089499656155	0.409843088090779	0.293090627721931	6.0	7.0	19.0	13.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
USP4	3.931326344785908	8.447850586975224e-05	0.200009	0.645706	0.756749	NA	NA	NA	0.375189	0.286733	0.190705	1.05260820156118	0.455068209809692	0.0207183586618177	7.0	NA	16.0	11.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
KIF19	3.8107080391054087	0.0001385693435413599	0.41375	0.288448	0.151458	NA	NA	NA	0.170105	0.141787	0.230248	0.585036417332245	0.497232486373117	0.239361081394202	13.0	NA	16.0	10.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
WDR33	3.7455199681958113	0.0001800205268206295	NA	NA	NA	NA	NA	NA	1.0941	0.369749	0.00308603	0.60580314567543	0.770266039936854	0.431583054272798	NA	NA	6.0	6.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
RTEL1-TNFRSF6B	-3.7201869869107425	0.00019907533301987798	0.136799	0.646567	0.832437	NA	NA	NA	-0.504705	0.375983	0.179478	-1.11404195155882	0.430231160596678	0.0096142444242319	6.0	NA	18.0	17.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
ZSCAN25	3.6809750201690328	0.0002323437694158523	NA	NA	NA	NA	NA	NA	1.23648	0.335911	0.000232348	NA	NA	NA	NA	NA	16.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
GDF9	3.6589807746621683	0.00025322033354453934	NA	NA	NA	NA	NA	NA	0.661069	0.375045	0.0779612	1.25125881053807	0.659827741080307	0.0579148855289338	NA	NA	9.0	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
SERPINA9	-3.587603262586393	0.00033373157785138445	NA	NA	NA	NA	NA	NA	-0.476425	0.251011	0.0576932	-0.545531381501313	0.322880091689716	0.0911085505952376	NA	NA	7.0	8.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
 
COHORT: GNE_AMP_NIH_UKB_CASE_PARENT_PROXY_META; VARIANT GROUP: ALL_MODERATE_HIGH_IMPACT_SNPEFF; MAF: 0.001; NUMVAR >= 4
GENE	TEST_STAT_SUMMEDZ	META_PVAL	UKB_CASE_BETA	UKB_CASE_SE	UKB_CASE_PVAL	AMP_NIH_BETA	AMP_NIH_SE	AMP_NIH_PVAL	UKB_PARENT_PROXY_BETA	UKB_PARENT_PROXY_SE	UKB_PARENT_PROXY_PVAL	GNE_BETA	GNE_SE	GNE_PVAL	UKB_CASE_NUMVAR	AMP_NIH_NUMVAR	UKB_PARENT_PROXY_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
GBA	14.850012571484145	6.955561223449301e-50	1.18776	0.263712	6.66843e-06	0.87011	0.352526	0.013579	0.831198	0.137567	1.52088e-09	0.769647136492188	0.419275225865795	0.0664078248262314	35.0	15.0	87.0	19.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
CFAP52	-7.977377505324604	1.4947512510457176e-15	-0.352038	0.407327	0.387442	-0.852688	0.351345	0.0152275	-0.392146	0.183992	0.0330625	-0.679282920704885	0.265877931573182	0.010622818696429	33.0	13.0	89.0	66.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
BOLA1	7.9516695380535385	1.8401457192753694e-15	1.01812	0.555583	0.0668723	1.00169	0.587393	0.0881355	0.29071	0.241926	0.229499	1.09138563558828	0.339764698226677	0.0013173145056984	9.0	5.0	28.0	15.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
LAT	7.623671655909627	2.4656004977978114e-14	0.383077	0.345959	0.268168	0.256227	0.292201	0.380547	0.312957	0.140308	0.0257144	1.04728919798518	0.307213444891926	0.0006520259662626	25.0	14.0	63.0	25.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
ENDOU	-7.600955110719308	2.939530711499812e-14	-0.774573	0.525582	0.14055	-1.25106	0.462893	0.00687814	-0.477196	0.205138	0.0200072	-0.319398895783598	0.29081358845583	0.272076016270057	25.0	15.0	73.0	42.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
RASAL1	7.569156409080031	3.7565564029143824e-14	0.167136	0.281289	0.552392	0.294965	0.221892	0.183743	0.319012	0.102963	0.00194616	0.448398950436858	0.176026156575716	0.0108546767567477	53.0	23.0	151.0	89.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
IRX6	7.348228794993986	2.0085049190477122e-13	0.44192	0.289191	0.126482	0.541059	0.353948	0.126354	0.356622	0.127525	0.00516634	0.304664486488613	0.203792086620824	0.134920439441739	43.0	13.0	104.0	63.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
DSEL	7.2817486261897955	3.2952066467618236e-13	0.688363	0.223059	0.00202863	0.669373	0.267761	0.0124232	-0.0495721	0.119793	0.67901	0.401032076443262	0.190093195512048	0.0348876224806451	63.0	22.0	185.0	79.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
NOP53	7.142027670109468	9.196407937324466e-13	0.588006	0.213796	0.00595379	0.554177	0.222032	0.0125628	0.191163	0.100836	0.05799	NA	NA	NA	49.0	28.0	134.0	NA	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
MET	-7.045324486941793	1.8502980524187532e-12	0.125137	0.245511	0.61026	-0.531186	0.236899	0.0249452	-0.455643	0.136021	0.000808668	-0.348147226623997	0.177356568585066	0.0496486096306934	60.0	25.0	192.0	109.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
ALKBH6	7.041635075483233	1.8999690179458282e-12	0.594249	0.371426	0.109618	0.919734	0.535683	0.0859909	0.194184	0.169696	0.252498	1.25008792256202	0.484439949149861	0.0098662880839102	14.0	6.0	49.0	15.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
C17orf64	6.84235266078773	7.79030152905363e-12	0.683108	0.451116	0.12996	0.546824	0.472332	0.246983	0.535203	0.178803	0.00276027	0.451910522759272	0.383910718524391	0.23914601492727	11.0	6.0	43.0	18.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
KLHL25	-6.787256563283385	1.1428586879095763e-11	-0.7315	0.334694	0.0288465	-0.912865	0.315496	0.00381062	-0.129332	0.113296	0.253645	-0.110098849802646	0.194277496771165	0.57091175168186	60.0	22.0	153.0	102.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
DPYSL4	6.7090199100106505	1.959359364117712e-11	0.37131	0.246166	0.131459	0.854218	0.290256	0.0032507	0.118508	0.132822	0.372269	0.342334313877614	0.250714575026288	0.172116547380197	60.0	19.0	130.0	59.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
TMEM139	-6.546434718890781	5.892688961910019e-11	-0.577221	1.05995	0.586046	-0.673056	0.508628	0.185743	-0.899827	0.394102	0.0224167	-0.44538241514511	0.185936287845707	0.0166045242260591	8.0	5.0	45.0	29.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
GDF9	6.525097366357498	6.795737391094217e-11	-0.0307325	0.417014	0.941252	0.978568	0.474318	0.0391026	0.184661	0.182275	0.311016	0.794658719313446	0.225588787384234	0.0004273382441273	26.0	8.0	56.0	53.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
FAM71F2	-6.472032687032177	9.669319676198363e-11	-0.95334	0.73802	0.196442	-0.387627	0.55599	0.485688	-0.448595	0.222553	0.0438333	-0.809628873300421	0.328127907924966	0.0136091194208064	17.0	4.0	54.0	31.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
ELN	6.468397779284787	9.904748425409123e-11	0.452351	0.233779	0.0529957	0.343713	0.206046	0.0952886	0.0225905	0.10815	0.834541	0.46195315067883	0.173900121153146	0.0078973313372441	57.0	30.0	169.0	81.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
METRNL	6.4332874097011	1.2487320647017477e-10	0.794897	0.324366	0.0142613	0.283886	0.353123	0.421437	0.139876	0.138025	0.310865	0.607021979312394	0.280336965987088	0.0303624397724364	22.0	10.0	75.0	24.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
MRPL42	6.413605520818171	1.421176649300768e-10	0.382612	0.578628	0.508458	0.465214	0.543548	0.392062	0.749744	0.212923	0.000429589	0.743514344839041	0.540626140875082	0.16904349327989	14.0	7.0	37.0	14.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
TRMT12	6.405603127054033	1.4977610530370651e-10	0.747492	0.344929	0.0302281	0.78984	0.370821	0.0331734	0.290125	0.173272	0.0940538	0.12895904522509	0.297040281650223	0.664181946455621	18.0	10.0	63.0	44.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
RNF114	6.3759217964570745	1.8186571575663294e-10	0.638187	0.418769	0.127518	-0.177176	0.557318	0.750554	0.325588	0.215094	0.130101	0.759777852904681	0.207807061135968	0.0002560120421331	14.0	6.0	36.0	23.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
LBX2	6.367077003416373	1.9266446346767797e-10	0.0695654	0.320281	0.828052	0.426203	0.272279	0.117509	0.449704	0.118563	0.000148858	0.180364116004144	0.227846189064916	0.428591200801343	22.0	15.0	58.0	35.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
TMEM236	6.362312895466953	1.987380619417895e-10	0.776282	0.38174	0.0419982	0.502436	0.330048	0.127931	0.132481	0.181363	0.465099	0.553739764198468	0.266735168341878	0.0378947988777538	16.0	12.0	57.0	45.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
 
