COHORT: GNE_AMP_NIH_UKB_CASE_CONTROL_META; VARIANT GROUP: ALL_MISSENSE_SNPEFF; MAF: 0.001; NUMVAR >= 3
GENE	TEST_STAT_SUMMEDZ	META_PVAL	UKB_CASES_BETA	UKB_CASES_SE	UKB_CASES_PVAL	AMP_NIH_BETA	AMP_NIH_SE	AMP_NIH_PVAL	GNE_BETA	GNE_SE	GNE_PVAL	UKB_CASE_NUMVAR	AMP_NIH_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
LSR	7.2955768932178415	2.97382075926304e-13	0.495307	0.167506	0.00310709	0.373314	0.190697	0.050274	0.288528324303496	0.121179626371041	0.0172658535488151	44.0	25.0	72.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
EEA1	7.2709767006749075	3.5689750325656074e-13	0.587934	0.125504	2.80507e-06	0.0578216	0.112084	0.605938	0.262995525418615	0.127019342380937	0.0384040900142764	50.0	27.0	84.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
DLEU7	7.061105284633252	1.6518337424763325e-12	1.16724	0.427891	0.00637429	1.01878	0.394413	0.00979373	0.704243864496001	0.402382331691961	0.080086249114731	12.0	6.0	13.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
RNF114	7.012964242056751	2.3332109892264884e-12	0.520745	0.262857	0.0475803	0.268103	0.194885	0.168915	0.759777852904681	0.207807061135968	0.0002560120421331	14.0	9.0	23.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
NUP210	6.499416648756928	8.063206073071892e-11	0.258292	0.114357	0.0239062	0.165424	0.0915671	0.0708268	0.219716494616765	0.0902629415717801	0.0149254576408459	119.0	59.0	199.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
SNX27	-6.422126818087728	1.3438339124347922e-10	-0.663681	0.320124	0.0381537	-0.709633	0.2337	0.00239329	-0.259751512279004	0.197918816920198	0.189380339023877	26.0	9.0	26.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
LRRK2	6.209856626765031	5.303296439872764e-10	0.170502	0.138813	0.219341	0.33171	0.109715	0.0024996	0.196976010815823	0.100590737203525	0.0502074479199019	120.0	56.0	179.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
HSPA1L	-6.165189165672517	7.039893008009933e-10	-0.827614	0.370956	0.0256791	-0.422277	0.188026	0.0247139	-0.477180968079505	0.28263733488458	0.0913506985527003	29.0	15.0	45.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
DSEL	5.967986984886533	2.4019852369032775e-09	0.362252	0.173074	0.0363449	0.309355	0.166203	0.0627001	0.263784374262134	0.130999301082774	0.044048192483626	64.0	25.0	80.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
GCNT2	-5.923498405601951	3.1516378676151964e-09	-0.377055	0.17511	0.0312992	-0.263144	0.146714	0.0728801	-0.275616948302463	0.139435189405087	0.0480792745810491	61.0	29.0	117.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
NIPA2	5.920260578944431	3.2143191781370534e-09	0.886822	0.319285	0.00547746	0.543608	0.35878	0.129733	0.452489187983374	0.278013676979222	0.103614211177783	16.0	5.0	23.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
UMODL1	-5.872295117842281	4.2980272665970666e-09	-0.160542	0.122394	0.189626	-0.235628	0.0976252	0.0157957	-0.214663105618905	0.0999821152577038	0.0317920839346485	136.0	68.0	180.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
CENPF	-5.7993161870407794	6.658587987910017e-09	-0.431053	0.143265	0.00262304	-0.13439	0.0905273	0.137671	-0.120126958394219	0.0919800722180176	0.191548919272409	136.0	75.0	251.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
GPLD1	-5.780612014982726	7.4429361328660045e-09	-0.339664	0.221861	0.125776	-0.271283	0.134853	0.0442526	-0.337239454104573	0.150691829841854	0.0252248900122233	53.0	30.0	90.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
ABCC9	5.660133459770806	1.5125532002455786e-08	0.598442	0.279438	0.0322263	0.349251	0.308306	0.257296	0.556255316174922	0.233158812734672	0.0170449934197614	43.0	12.0	58.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
DCAF1	-5.648382454109603	1.619645371719777e-08	-1.09352	0.734116	0.136336	-0.237847	0.475298	0.616782	-1.43621248613671	0.392580258993009	0.0002538026319691	25.0	10.0	66.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
DLL4	5.594560327273091	2.2118155452136267e-08	0.403597	0.289197	0.162842	0.333736	0.26776	0.212619	0.596378696807019	0.201985449607249	0.003151278857534	34.0	12.0	48.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
SLC39A7	-5.586536373295308	2.3164304922141336e-08	-0.49998	0.337066	0.137987	-0.269549	0.200372	0.178547	-1.25512290149723	0.455090410697377	0.0058162629487339	27.0	8.0	35.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
PSG7	5.581560290028487	2.383703947422218e-08	0.642024	0.238358	0.00706998	0.656094	0.240531	0.00637805	0.0216234192195972	0.13485804205378	0.872611611146686	48.0	22.0	89.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
IFNGR1	5.563721213321638	2.640817226487855e-08	1.0981	0.377907	0.00366368	0.718206	0.336001	0.0325564	0.15250888901883	0.29302240304108	0.602737176220617	19.0	11.0	38.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
ANKRD55	5.556830615640975	2.7471711337700376e-08	0.119952	0.154983	0.438948	0.538875	0.157315	0.00061376	0.181336485625722	0.133590087325986	0.174651055325589	41.0	17.0	58.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
INTU	5.519451906618133	3.4005864440945225e-08	0.347283	0.225209	0.123063	0.351032	0.158024	0.0263252	0.291334056735018	0.165905868326115	0.0790849588137064	38.0	24.0	72.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
SST	-5.513354591911069	3.5205791598075896e-08	-0.526773	0.751982	0.483607	-1.28668	0.476592	0.0069391	-0.916922803798135	0.433925056591205	0.0345930445313883	3.0	4.0	10.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
 
COHORT: GNE_AMP_NIH_UKB_CASE_CONTROL_META; VARIANT GROUP: ALL_LOF_HC_LOFTEE; MAF: 0.001; NUMVAR >= 3
GENE	TEST_STAT_SUMMEDZ	META_PVAL	UKB_CASES_BETA	UKB_CASES_SE	UKB_CASES_PVAL	AMP_NIH_BETA	AMP_NIH_SE	AMP_NIH_PVAL	GNE_BETA	GNE_SE	GNE_PVAL	UKB_CASE_NUMVAR	AMP_NIH_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
CAPN10	5.586258223536161	2.3201417709591615e-08	3.37192	1.10577	0.00229306	NA	NA	NA	2.09947867433774	0.827585633303507	0.0111847897236652	4.0	NA	6.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
ULK4	4.413341634562994	1.0178718184996731e-05	1.71504	0.524055	0.00106552	NA	NA	NA	0.242552046574523	0.212632890028757	0.253991440943902	12.0	NA	17.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
SCPEP1	4.38923632082353	1.137494063653542e-05	1.28914	0.770649	0.0943676	1.42377	0.661801	0.0314481	0.599394333816046	1.06072139183965	0.572018139634863	5.0	4.0	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
ABCB5	4.368573421912413	1.2506077337804677e-05	1.03498	0.71533	0.147936	0.943463	0.504431	0.0614348	0.43089499656155	0.409843088090779	0.293090627721931	5.0	5.0	13.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
ANKDD1A	3.928264379716113	8.556112222599085e-05	1.92457	0.821911	0.0192026	NA	NA	NA	1.16744561844316	0.73577663689752	0.112584046760054	4.0	NA	8.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
PHKB	-3.8437774227568244	0.00012115489709473167	-1.23742	0.731361	0.0906565	-0.335799	0.611183	0.582714	-1.09726997859924	0.684761749402868	0.109064683295811	16.0	4.0	13.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
ANKRD35	3.8061720081096437	0.00014113424534997944	NA	NA	NA	0.622617	0.525273	0.23589	0.787903283802311	0.300628770593821	0.0087710527736246	NA	3.0	11.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
ALMS1	3.772462594054055	0.0001616442060362235	0.748115	0.39877	0.0606473	NA	NA	NA	0.699224279610696	0.368710180327495	0.0579063499404486	19.0	NA	22.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
CCDC158	3.7066475619035173	0.00021002088853699498	1.34957	0.548656	0.0139024	0.106131	0.550899	0.847233	0.571330264312326	0.541944632024898	0.291781027746948	11.0	3.0	9.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
VPS13A	3.706028239024319	0.00021053483575146235	1.54204	0.524342	0.00327248	NA	NA	NA	0.291768139799279	0.381334820329159	0.4441981521126	14.0	NA	28.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
PTPRH	3.7017450915433123	0.0002141216828312646	0.648376	0.484455	0.180778	0.300219	0.611702	0.623572	0.514700553038585	0.274860171603389	0.0611249507334769	13.0	3.0	25.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
BCAS4	3.6510190123348663	0.0002612019011314344	1.10253	0.715606	0.123391	0.956681	0.791909	0.227021	0.680289742612597	0.753987939410745	0.366921174565869	4.0	3.0	3.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
CTTNBP2	3.6429563604486566	0.0002695245466174681	2.64037	1.22823	0.0315758	NA	NA	NA	1.03960976612496	0.696219830301805	0.135379461498745	3.0	NA	8.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
BLM	3.6380832518382418	0.0002746746452835628	0.248988	0.564676	0.659257	0.982465	0.603184	0.103356	0.604248358448257	0.385277581930462	0.116800524767547	13.0	5.0	12.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
LIPE	3.6214049849748133	0.00029300741833538795	1.08247	0.482303	0.0248084	NA	NA	NA	0.299571310935429	0.217549259967976	0.168503749515612	9.0	NA	6.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
TRAPPC3L	3.605267875570504	0.0003118311087798752	NA	NA	NA	0.48783	0.927199	0.598795	1.93465590208608	0.628311518023376	0.0020760267795094	NA	3.0	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
CD44	3.590169740958714	0.0003304626936573947	3.22015	1.12446	0.00418689	NA	NA	NA	0.610504365916178	0.840406236353939	0.467569325430392	3.0	NA	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
MAMDC4	3.5826316339983686	0.0003401501137892141	0.182689	0.375828	0.626899	1.52679	0.69223	0.0274111	0.245933925227165	0.276043844106818	0.372970255877954	13.0	3.0	33.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
ZSCAN12	-3.5810267868112593	0.0003422465597074433	-0.601748	1.05334	0.567814	-1.91147	1.09599	0.0811486	-1.85707322345555	1.46723854688407	0.205623097126265	7.0	4.0	6.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
LONP2	3.5308053343328725	0.0004142965341761526	-1.17113	1.03218	0.256535	0.497798	0.441989	0.260053	1.5140360037784	0.427795843599402	0.0004014093550155	7.0	4.0	11.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
B3GNT3	3.505879203534955	0.00045510171254698807	NA	NA	NA	NA	NA	NA	3.74312143465989	1.06766982470067	0.0004551017125469	NA	NA	3.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
TRMT10A	3.4549288466129435	0.000550438066024895	2.53792	0.850137	0.00283288	NA	NA	NA	0.333404522378193	0.709942642882432	0.638625266407242	3.0	NA	10.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
PCDHGB1	-3.451206693945684	0.0005580859873908663	-0.243759	0.281187	0.386001	-0.555001	0.365533	0.12893	-0.943805463481658	0.885387306843283	0.286432528679288	69.0	9.0	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
RECQL4	-3.434588097794472	0.0005934551347539804	-0.275407	0.623057	0.65847	-0.960585	0.829057	0.2466	-0.958903366453814	0.522872303138372	0.0666666107120231	12.0	3.0	20.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
 
COHORT: GNE_AMP_NIH_UKB_CASE_CONTROL_META; VARIANT GROUP: ALL_LOF_HC_LOFTEE; MAF: 0.01; NUMVAR >= 3
GENE	TEST_STAT_SUMMEDZ	META_PVAL	UKB_CASES_BETA	UKB_CASES_SE	UKB_CASES_PVAL	AMP_NIH_BETA	AMP_NIH_SE	AMP_NIH_PVAL	GNE_BETA	GNE_SE	GNE_PVAL	UKB_CASE_NUMVAR	AMP_NIH_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
CAPN10	5.586258223536161	2.3201417709591615e-08	3.37192	1.10577	0.00229306	NA	NA	NA	2.09947867433774	0.827585633303507	0.0111847897236652	4.0	NA	6.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
PHKB	-5.352460558249421	8.676621945284688e-08	-1.23742	0.731361	0.0906565	-0.902617	0.435521	0.038219	-0.552281175440779	0.347779796438713	0.112281879679084	16.0	5.0	14.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
